有問題的地方
UI_20150317_000021	最有效益的  // Availest 
UI_20150317_001121	密度
UI_20150317_001123	{@st59}髮飾{/}
UI_20150317_001124	{@st59}副飾品{/}
UI_20150317_001125	{@St42}文字{/}
UI_20150317_001126	基礎內容名稱
UI_20150317_001128	基礎物品名稱
UI_20150317_001132	%S 種族
UI_20150317_001137	道具名稱
UI_20150317_001139	等級或以上
UI_20150317_001140	所有人都可以裝備
UI_20150317_001142	道具名稱
UI_20150317_001144	多少錢
UI_20150317_001145	{@St42b}希奧莉艾大陸探索率{/}
UI_20150317_001146	{@St42b}探索到西部森林區域{/}
UI_20150317_001148	{@St18}我的排名{/}
UI_20150317_001149	鑽石
UI_20150317_001150	體力 +9.000
UI_20150317_001151	{@St18}平均{/}
UI_20150317_001152	{@St42b}{s18}手藝{/}
UI_20150317_001153	{@St55_c}道具名稱
UI_20150317_001154	{@St55_c}備註記錄
UI_20150317_001155	{@St59}請輸入名字。如果你不輸入，會自動使用預設名稱。{/}
UI_20150317_001156	{@St59}輸入備註{/}
UI_20150317_001163	總價：1
UI_20150317_001166	{@St41}註冊
UI_20150317_001167	{@St41}名字
UI_20150317_001169	{@St43}名字{/}
UI_20150317_001171	{@St42b}登入{/}
UI_20150317_001172	{@St41}建立新的對話
UI_20150317_001173	{@St41}完整對話內容
UI_20150317_001174	地區名稱
UI_20150317_001176	{@St41}特性點數
UI_20150317_001177	{@St41}職業名稱
UI_20150317_001178	角色名稱
UI_20150317_001181	{@St42}任務分享{/}
UI_20150317_001182	{@St42}EXP 分享{/}
UI_20150317_001183	角色備註
UI_20150317_001193	我該怎麼辦
UI_20150317_001194	你不會知道這是誰
UI_20150317_001195	{@st41b}冒險日誌已更新
UI_20150317_001196	任務選單物件
UI_20150317_001197	任務目錄
UI_20150317_001198	任務列表物件
UI_20150317_001203	角色細節 類型1
UI_20150317_001204	角色細節 類型2
UI_20150317_001205	背包列表 類型1
UI_20150317_001206	背包列表 類型2
UI_20150317_001208	在拍賣場上檢視道具細節
UI_20150317_001209	道具名稱輸出
UI_20150317_001210	剩餘數量輸出
UI_20150317_001211	數值輸出
UI_20150317_001212	當你把這東西新增到購物車
UI_20150317_001213	總數值輸出
UI_20150317_001215	單位價格輸出
UI_20150317_001216	道具目錄
UI_20150317_001217	新聞
UI_20150317_001221	擊退 8個瘋狂的瓦布族人
UI_20150317_001222	工具提示
UI_20150317_001223	EXP：sad{br}+1 強化水晶 (攻擊)
UI_20150317_001229	{@st42b}目前價格 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001231	{@St41b}接收道具{/}
UI_20150317_001232	{@st42b} 競標價 {img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_001233	{@Sti7}返回
UI_20150317_001234	{@St59}頭部{/}
UI_20150317_001235	{@St59}左手環{/}
UI_20150317_001236	{@St59}右手環{/}
UI_20150317_001237	{@St59}服裝{/}
UI_20150317_001238	{@st59}戒指2{/}
UI_20150317_001239	寵物名稱
UI_20150317_001241	西部森林等...
UI_20150317_001243	目錄名稱
UI_20150317_001244	這是說明
UI_20150317_001245	{@Sti7}%s 點{/}
UI_20150317_001247	完成25個任務
UI_20150317_001248	[Sub]荊棘森林
UI_20150317_001249	{@St42}已裝備的道具
UI_20150317_001250	{@St44}%s 階 職業資訊{/}
UI_20150317_001251	進階資訊
UI_20150317_001258	{#FFFF33}%s{/} 想跟你成為好友{/}
UI_20150317_001259	{@St41b}接受
UI_20150317_001261	{@St53b}正在讀取好友列表。
UI_20150317_001264	請加入要販賣的 buff
UI_20150317_001275	{@st41_yellow}探索率 %s% {/}
UI_20150317_001277	{@st42b}{b}成就完成度{/}
UI_20150317_001278	{@st59}加入組隊任務{/}
UI_20150317_001279	視窗
UI_20150317_001280	狀態
UI_20150317_001281	分頁
UI_20150317_001282	圖像道具
UI_20150317_001283	效果
UI_20150317_001284	控制組
UI_20150317_001285	{@St41}難度：%s
UI_20150317_001286	{@St42}剩餘時間：%s
UI_20150317_001287	{@St53}道具製作
UI_20150323_001288	{@st59}把道具放進這裡{/}
UI_20150323_001293	可消耗的材料
UI_20150323_001294	可消耗的數量
UI_20150323_001295	可用的數量
UI_20150323_001298	公告牌標題
UI_20150323_001301	{@stc1}效果
UI_20150323_001302	{@stc1}材料與價格
UI_20150323_001308	{@st41b}效果
UI_20150323_001313	{@st43}點心表
UI_20150323_001316	{@st59}關閉{/}
UI_20150323_001328	{@st41b}設定
UI_20150323_001329	單位價格
UI_20150323_001330	{@st41b}材料列表
UI_20150323_001332	{@st59}關閉介面{/}
UI_20150323_001333	{@st41b}修理{/}
UI_20150323_001337	可消耗的材料
UI_20150323_001339	{@st42}關閉
UI_20150323_001343	{@st41b}材料
UI_20150323_001346	技能等級
UI_20150323_001349	{@st41}需要材料
UI_20150323_001350	{@st59}需要材料{/}
UI_20150323_001354	商店名稱
UI_20150323_001366	{@st41}煉金術材料
UI_20150323_001367	{@st41}煉金結果 {@stx1}(需要 %s){/}
UI_20150323_001368	{@st59}召喚寵物{/}
UI_20150323_001369	{@st41b}角色設定{/}
UI_20150323_001381	{@st59}保存小屋設定{/}
UI_20150323_001382	小屋變更
UI_20150323_001383	{@st59}關閉小屋變更
UI_20150323_001388	{@st59}小屋裝修{/}
UI_20150323_001390	{@st59}更改小屋設定{/}
UI_20150323_001394	{@st59}更改角色問候語{/}
UI_20150323_001395	{@st59}委託商店設定{/}
UI_20150401_001410	職業提示
UI_20150401_001414	手把快捷欄
UI_20150401_001420	支付
UI_20150401_001438	{@st41b}製作{/}
UI_20150401_001442	稱號
UI_20150406_001470	{@st59}關閉委託商店
UI_20150406_001471	{@st59b}委託商店{nl}{@st59s} - 用銀幣交易物品
UI_20150414_001487	{s26}{b}個
UI_20150414_001488	{s26}{b}等級
UI_20150414_001489	{@st44}{s26}等級
UI_20150414_001490	{@st59b}{s26}個
UI_20150428_001500	{@st41b}回報BUG
UI_20150428_001507	{@st59}不論距離或方向，都能鎖定你的目標。
UI_20150428_001508	找到隊伍！
UI_20150428_001509	手把快捷欄(休息模式)
UI_20150428_001510	{@st41b}休息模式
UI_20150428_001511	手把教學
UI_20150428_001513	鍵盤教學
UI_20150428_001514	{@st44}登出{/}
UI_20150428_001518	{@st42}{s14}{#ffff00}介面模式{/}
UI_20150428_001519	{@st59}使用鍵盤或手把控制UI
UI_20150428_001545	{@st43}繪圖設定{/}
UI_20150428_001550	遊戲FAQ
UI_20150714_001560	冒險指數：{#ffff00} %s{/} (第{#ffff00}#%s{/}名)
UI_20150714_001567	{@st59b}裝備 {nl}{@st59s} - 髮型/服裝: 裝備以改變人物外觀 {nl} - 武器：單手或雙手武器。{nl} (副武器/盾可以搭配一個單手武器) {nl} - 防具：上衣, 下裝, 手套和鞋。{nl} - 配件：1個項鍊 和 2個手鐲。{nl} {/}
UI_20150714_001568	{@st43}開啟 %s 商店
UI_20150714_001572	{@st59}關閉介面{/}
UI_20150714_001579	>>檢視更多資訊...
UI_20150714_001583	{@st41}你可以在遊戲設定中選擇使用手把或滑鼠操作。{nl}
UI_20150714_001599	{@st42}公開組隊{/}
UI_20150714_001605	目前任務
UI_20150714_001610	隊伍說明 : %s
UI_20150714_001611	建隊時間：%s 前
UI_20150714_001612	隊伍人數 : %s/5
UI_20150714_001614	{@st59}使用隊伍名稱或說明來搜尋{/}
UI_20150714_001618	{@st41b}未讀訊息
UI_20150714_001624	{@st59}關閉技能視窗{/}
UI_20150714_001626	可分配的素質點數 {nl}{@st46}%s
UI_20150714_001627	按讚數：%s次
UI_20150714_001644	{@st66b}Bloom{/}
UI_20150714_001645	{@st66b}Vignette{/}
UI_20150714_001646	{@st66b}FXAA{/}
UI_20150714_001647	{@st66b}Glow{/}
UI_20150714_001648	{@st66b}景深{/}
UI_20150714_001649	{@st66b}Soft Particle{/}
UI_20150714_001650	{@st66b}高級紋理{/}
UI_20150714_001654	%s對我按讚
UI_20150714_001660	比賽結束
UI_20150714_001667	{@st42}小屋設定{/}
UI_20150714_001675	隊伍名稱：{#2c140c}%s{/}
UI_20150714_001679	任務分享：{#2c140c}%s{/}
UI_20150714_001682	您在這個隊伍中過得愉快嗎？
UI_20150714_001693	{@st41}重新整理
UI_20150717_001696	輔導級，未滿十二歲之兒童不宜遊玩。
UI_20150717_001701	{@st59}對道具進行排序{/}
UI_20150717_001703	{@st59}關閉手把操作指南。{/}
UI_20150717_001704	{@st59}關閉鍵盤操作指南。{/}
UI_20150717_001706	{@st59}關閉滑鼠操作指南。{/}
UI_20150717_001715	{@st42}隊伍名稱和說明{/}
UI_20150717_001716	{@st42}顯示隊伍招募
UI_20150717_001720	只有隊長能使用。
UI_20150717_001727	{@st59}欄內的武器裝備{nl}按Alt+Z可切換{/}
UI_20150729_001741	{@st42b}劍士可以按兩下方向鍵來疾跑{/}
UI_20150729_001742	{@st41}隊伍設定
UI_20150729_001743	{@st41}隊伍招募設定
UI_20150729_001744	{@st42}使用隊伍搜尋功能{/}
UI_20150729_001745	如果有玩家符合你的條件,將顯示消息[隊伍條件符合！]
UI_20150729_001755	{@st42}團隊戰鬥日程表
UI_20150729_001760	{@st59}接受隊伍任務{/}
UI_20150803_001769	已經找到對戰組合，入場等待中。
UI_20150807_001772	{@st41b}檢視詳情 {img red_down_arrow 16 16}
UI_20150918_001777	點擊可增加篝火的持續時間{nl} 需要 %s 銀幣。
UI_20150918_001781	受{#ffff00}{ol}%s{/}{/}位玩家歡迎
UI_20150918_001782	{@st43}副本詳情
UI_20150918_001787	{#000000}進入 %s 次後，進入次數會被重置。{/}
UI_20150918_001789	附近的隊伍
UI_20150918_001792	{@st42}顯示附近的隊伍{/}
UI_20150918_001796	{@st66b}{s20}你陷入{/}{s20}{#cc6600}{ol}無法戰鬥 {/}{@st66b}{s20}的狀態！{/}
UI_20150918_001797	{@st66b}從最近的重生點復活{/}
UI_20150918_001800	{@st66b}放棄任務再挑戰一次{/}
UI_20150918_001805	{@st42b}確認對話內容{/}
UI_20151001_001811	{@st43}鍵盤設定{/}
UI_20151001_001812	{@st45tw2}目錄
UI_20151016_001816	{@st59}你可以預覽、變更小屋主題。
UI_20151022_001826	{@st41}等待進入伺服器
UI_20151022_001829	{@st66b}顯示其他角色效果
