QUEST_20150317_000001	請選擇使用者需要任務更新.
QUEST_20150317_000762	聖騎士導師 {nl} [Valentinas Naimon] {nl}The most well-known hero of the legendary four heroes. {nl}He saved many lives in his verse during Divine Beast Day.
QUEST_20150317_000763	書架
QUEST_20150317_000764	這是太難看了.
QUEST_20150317_000765	There are several books on the shelf. {nl}我應該讀哪一本書?
QUEST_20150317_000766	It's under a spell and can't be read.
QUEST_20150317_000767	There are some books worth reading. {nl}我應該讀哪一本書?
QUEST_20150317_000768	這裡有一些書可以讀. {nl}我應該讀哪一本書?
QUEST_20150317_000769	Pot
QUEST_20150317_000770	I can put my hand in the pot. {nl}Which pot should I check?
QUEST_20150317_000771	There is something in the pot. {nl}Which one should I check?
QUEST_20150317_000772	There are some old pots among the new pots. {nl}Which one should I check?
QUEST_20150317_000773	Seems like you can take out the contents of the pot if you turn it upside down. {nl}Which one should I turn?
QUEST_20150317_000774	There are fragments scattered among the pot. {nl}Should I take a look?
QUEST_20150317_000775	There is a clay tablet with writing on it. {nl}Should I take a look?
QUEST_20150317_000776	There is a clay tablet that looks rather new.
QUEST_20150317_000777	There is a clay tablet with writing on it.
QUEST_20150317_000778	The clay tablet looks really old but it can be read.
QUEST_20150317_000779	Found a very old clay tablet.
QUEST_20150317_000780	這裡沒什麼.
QUEST_20150317_000781	Seems like you might break the pot if you mishandle it.
QUEST_20150317_000782	空的.
QUEST_20150317_000783	A bug came out.
QUEST_20150317_000784	A half eaten potato came out.
QUEST_20150317_000785	A clay tablet came out, but it's too worn out to be read.
QUEST_20150317_000786	休息的重要性
QUEST_20150317_000787	Young men nowadays are so restless. {nl}They try to do everything while standing up.
QUEST_20150317_000788	Whether it be making weapons, making potions, or even cooking, they try to do it while standing. {nl}You must calm yourself and sit in a comfortable position.
QUEST_20150317_000789	Sit down and prepare all the tools and materials you need. {nl}Remember that creation comes after preparations.
QUEST_20150317_000790	女神 Austeja
QUEST_20150317_000791	{memo X}
QUEST_20150317_000792	It may be better for me to just guard the seal. {nl}But I believe finding all my lost sisters will be the solution to all of this.
QUEST_20150317_000793	I wish you well… {nl}And may you and this land be blessed. 
QUEST_20150317_000794	{memo X}
QUEST_20150317_000795	懦夫
QUEST_20150317_000796	{memo X}
QUEST_20150317_000797	I see, you're the one the bees have been whispering about. {nl}I am Austeja, the 女神 of Fate.
QUEST_20150317_000798	{memo X}
QUEST_20150317_000799	I will be using all of my powers to prevent this from happening any more… {nl}Thus, I cannot move away from here, let alone save them.
QUEST_20150317_000800	Please save them and the Spring Light Woods.
QUEST_20150317_000801	{memo X}
QUEST_20150317_000802	{memo X}
QUEST_20150317_000803	{memo X}
QUEST_20150317_000804	As you may already know, our kingdom has five major 女神 and other 女神 who assist them. {nl}But nobody knows where all of them are now.
QUEST_20150317_000805	花店女士
QUEST_20150317_000806	People don't buy flowers anymore. {nl}The only flowers they buy are the ones to offer for the 女神es' return. {nl}It's really depressing in many ways.
QUEST_20150317_000807	I hope Klaipeda becomes lively like it used to be… {nl}With the fragrance of flowers in the air and people dancing in spring to worship 女神 Zemyna, {nl}the 女神 of the Earth…
QUEST_20150317_000808	警告
QUEST_20150317_000809	Beware of Leaf Bugs! They are different from Beetles. {nl}It is hard to fight them when they come in flocks so be careful. 
QUEST_20150317_000810	通知: Large Kepa is not an onion!{nl}Wearing goggles is useless against Large Kepa. {nl}Watch out for powerful attacks that shake the ground.
QUEST_20150317_000811	Please worship the 女神 Statue with a pious mind. You will grow stronger with {nl}the 女神 Zemyna's power, blessed by the Overseer of the Earth herself.
QUEST_20150317_000812	The Statue of 女神 Zemyna lies at the end of this road.
QUEST_20150317_000813	警告! Hanaming-infested area. {nl}Do not be fooled by their cute appearance. {nl}They attack in groups and…{nl}(Red marks are covering the rest.)
QUEST_20150317_000814	小心! What happens to you beyond this point is your responsibility! {nl}Golems are rumored to appear in this area. Do not go any further.
QUEST_20150317_000815	P.S. It is better to run away than to pray to the 女神 in case you encounter Golems.
QUEST_20150317_000816	女神已經消失. {nl}But if we fight bravely against the demons, perhaps the 女神 will return someday. {nl} - Laimonas
QUEST_20150317_000817	Attention to those who come to Klaipeda after having a dream about the Revelation. {nl}Knight Uska is waiting for you in the Central Plaza.
QUEST_20150317_000818	Welcome to Klaipeda Shopping Center. {nl}You can shop for a variety of accessories, tools, equipment, and other items.
QUEST_20150317_000819	Use the stairs on the right to go to the Klaipeda Central Plaza.
QUEST_20150317_000820	Klaipeda Central Plaza
QUEST_20150317_000821	招牌
QUEST_20150317_000822	East Siauliai Woods
QUEST_20150317_000823	{memo X}
QUEST_20150317_000824	幹得好. {nl}我已經完成了我的任務. {nl}現在是我的時間.
QUEST_20150317_000825	Go forward. {nl}The Sculptor is waiting for you. {nl}I was glad to have guided you.
QUEST_20150317_000826	啊…
QUEST_20150317_000827	危險! The vacant lot below these crossroads {nl}has regularly seen dangerous monsters. Entrance is forbidden! {nl} - The Fedimian Market
QUEST_20150317_000828	People are now praying less and less to the 女神es. {nl}They're losing hope…
QUEST_20150317_000829	How could I forget you… {nl}Please do not roam around this cursed land {nl}and go to the arms of the 女神.
QUEST_20150317_000830	放假通知
QUEST_20150317_000831	I have been enlisted to the army to save the kingdom. {nl}Therefore, the restaurant will be closed in the meantime. {nl} - Owner of Klaipeda's Specialty Restaurant, Vulinya
QUEST_20150317_000832	Don't blow out the candles. {nl}They guide the souls so they don't lose their way.
QUEST_20150317_000833	As you know, the King died on 聖樹之日 and the fate of other royalty and nobility were no different. {nl}The kingdom is holding together somehow but… now we can only pray.
QUEST_20150317_000834	{memo X}
QUEST_20150317_000835	When the spire is bathed with a red light the… door… to fantasy shall be opened.
QUEST_20150317_000836	King Zachariel's Will
QUEST_20150317_000837	{memo X}
QUEST_20150317_000838	Hmpf… {nl}Who would've thought that I would be challenged by humans…
QUEST_20150317_000839	Your death shall be utmost painful!
QUEST_20150317_000840	Soldier Recruitment Notice
QUEST_20150317_000841	我們想要你! {nl}Protect your family and your kingdom. {nl} - Klaipeda Recruiting Station
QUEST_20150317_000842	We are seeking brave young men who will bring order to these chaotic times. {nl}The world needs you! {nl} - Klaipeda Recruiting Station
QUEST_20150317_000843	榮譽. {nl}That is what your uniform will be made of. {nl} - Klaipeda Recruiting Station
QUEST_20150317_000844	警告! 禁止市民。
QUEST_20150317_000845	{memo X}
QUEST_20150317_000846	不可能.
QUEST_20150317_000847	Completing this spell will help the soldiers. {nl}請問我能做到嗎？
QUEST_20150317_000848	{memo X}
QUEST_20150317_000849	我能做到. {nl}這次我將會殺死 Gaigalas.
QUEST_20150317_000850	Unfortunately, I cannot solve it for you. It is the will of Maven. {nl}However, I am able to give some words of advice.
QUEST_20150317_000851	{memo X}
QUEST_20150317_000852	The curse of Naktis… Only curses remain where she treads. {nl}And she is now invading the Great Cathedral in search of the Revelation.
QUEST_20150317_000853	{memo X}
QUEST_20150317_000854	教堂桌子
QUEST_20150317_000855	{memo X}
QUEST_20150317_000856	…two years after the war, my first disciple ended up dead…
QUEST_20150317_000857	…a year after Lydia Schaffen left the Great Cathedral…
QUEST_20150317_000858	…One of the three disciples, Agailla Flurry…
QUEST_20150317_000859	It has been an old tradition of this town to make pots with wishes inside and offer it to the 女神. {nl}Wouldn't this disaster end when the 女神 returns?
QUEST_20150317_000860	The writing on the platform as I recall went like this… {nl}Remember the holy number with your two eyes. {nl}The light of the candles drives away the evil dark.
QUEST_20150317_000861	Remember the number written on the candle holder. {nl}And light that many candles to solve it.
QUEST_20150317_000862	The relics have fallen into the demon hands because of my weakness. {nl}But they shouldn't have reached Naktis yet.
QUEST_20150317_000863	{memo X}
QUEST_20150317_000864	在祭壇上寫作
QUEST_20150317_000865	永恆的女神. {nl}願我們讚美你無限的憐憫。
QUEST_20150317_000866	Life withers and the soul has nowhere to go. {nl}Only the 女神 can save us.
QUEST_20150317_000867	{memo X}
QUEST_20150317_000868	{memo X}怪物呀! 走跑!
QUEST_20150317_000869	Maven 的裝置
QUEST_20150317_000870	主教談到了 Maven 的裝置。 {nl}有一個小鎖孔。
QUEST_20150317_000871	Blue Pawndel
QUEST_20150317_000872	這是什麼?
QUEST_20150317_000873	你不是在開玩笑吧？
QUEST_20150317_000874	Black Pawnd
QUEST_20150317_000875	什麼事? {nl}你有懷疑的東西?
QUEST_20150317_000876	我能相信你嗎？
QUEST_20150317_000877	Naktis
QUEST_20150317_000878	{memo X}
QUEST_20150317_000879	{memo X}
QUEST_20150317_000880	{memo X}
QUEST_20150317_000881	一千年前，你們這一代之前… {nl}This is the story of the time before I left the Revelation with the Great King Zachariel.
QUEST_20150317_000882	This land was full of chaos when the Great King Zachariel tried to raise a new kingdom. {nl}Only one place seemed filled with life, and Zachariel wanted that place.
QUEST_20150317_000883	But the future I saw in that land had only death and regret. {nl}Thus, I left a prophecy that moved the capital elsewhere when the kingdom reached a thousand years of age.
QUEST_20150317_000884	It is now up to the humans to fulfill that prophecy. {nl}The end lies beyond the fog.
QUEST_20150317_000885	I plan to leave the end of this story in the next Revelation. {nl}Find my Revelation in the Mage Tower.
QUEST_20150317_000886	Laima
QUEST_20150317_000887	There are still more keys left to find. {nl}It's a relief that they are all secretly guarded by Maven's plan.
QUEST_20150317_000888	{memo X}
QUEST_20150317_000889	Insert the Relics that match each 祭壇. {nl}Then you will be able to get Maven's first key.
QUEST_20150317_000890	首先，準備。 {nl}The Wood Goblins will be attacking soon.
QUEST_20150317_000891	{memo X}
QUEST_20150317_000892	{memo X}
QUEST_20150317_000893	{memo X}
QUEST_20150317_000894	{memo X}
QUEST_20150317_000895	{memo X}
QUEST_20150317_000896	{memo X}
QUEST_20150317_000897	{memo X}
QUEST_20150317_000898	{memo X}
QUEST_20150317_000899	{memo X}
QUEST_20150317_000900	{memo X}
QUEST_20150317_000901	{memo X}
QUEST_20150317_000902	{memo X}
QUEST_20150317_000903	{memo X}
QUEST_20150317_000904	{memo X}
QUEST_20150317_000905	{memo X}
QUEST_20150317_000906	紅色大理石
QUEST_20150317_000907	It's emitting red light.
QUEST_20150317_000908	藍色大理石
QUEST_20150317_000909	It is emitting blue light.
QUEST_20150317_000910	黃色大理石
QUEST_20150317_000911	It's emitting yellow light.
QUEST_20150317_000912	綠色大理石
QUEST_20150317_000913	It's emitting green light.
QUEST_20150317_000914	紫色大理石
QUEST_20150317_000915	It's emitting purple light.
QUEST_20150317_000916	{memo X}
QUEST_20150317_000917	{memo X}
QUEST_20150317_000918	{memo X}
QUEST_20150317_000919	{memo X}
QUEST_20150317_000920	{memo X}
QUEST_20150317_000921	{memo X}
QUEST_20150317_000922	{memo X}
QUEST_20150317_000923	{memo X}
QUEST_20150317_000924	{memo X}
QUEST_20150317_000925	這似乎有一些反應。
QUEST_20150317_000926	{memo X}
QUEST_20150317_000927	{memo X}
QUEST_20150317_000928	Take the bombs from the chest. You must destroy the entrance of the Royal Mausoleum.
QUEST_20150317_000929	幫手!
QUEST_20150317_000930	警告
QUEST_20150317_000931	{memo X}
QUEST_20150317_000932	{memo X}
QUEST_20150317_000933	{memo X}
QUEST_20150317_000934	那好吧，讓我們開始實驗。
QUEST_20150317_000935	變質食品
QUEST_20150317_000936	土豆餃子。 It feels like you shouldn't eat them. {nl}Shall we eat it?
QUEST_20150317_000937	這是變質.
QUEST_20150317_000938	罐頭食品
QUEST_20150317_000939	It's preserved food that is dried or salted. {nl}Doesn't seem edible by itself.
QUEST_20150317_000940	Liquor
QUEST_20150317_000941	Just smells like liquor.
QUEST_20150317_000942	Explore
QUEST_20150317_000943	It seems like it can be used only in the Crystal Mine, 3rd Gallery…
QUEST_20150317_000944	Found a piece of paper underneath the soil.
QUEST_20150317_000945	吃多了會是相當危險的。
QUEST_20150317_000946	感覺有什麼可怕在裡面…
QUEST_20150317_000947	Ooopp…
QUEST_20150317_000948	我以後不想再吃這個了.
QUEST_20150317_000949	這是很危險的. 我要吐了！
QUEST_20150317_000950	There seem to be a lot of interesting books. {nl}Which one shall we read?
QUEST_20150317_000951	森林深處的奇景
QUEST_20150317_000952	Many wooden owl statues of unknown purpose are found in the deep forests.
QUEST_20150317_000953	Legend says that a sculptor made the statues to help guide dead souls.
QUEST_20150317_000954	It is said he has hidden for centuries and is sculpting statues even now.
QUEST_20150317_000955	Fallen City of the Kingdom
QUEST_20150317_000956	The Millenary was held for the thousand year anniversary of the Kingdom.
QUEST_20150317_000957	A hundred years after that, the Divine Tree rose up at the center of the capital, {nl}and disaster struck. The world was ravaged by plants.
QUEST_20150317_000958	The capital was filled with the anguished cries of people, {nl}and soon turned into a fallen city.
QUEST_20150317_000959	怪物
QUEST_20150317_000960	在聖樹之日之前, 當時只有 Vubbes.
QUEST_20150317_000961	But after, monsters with distinct and ferocious characteristics showed up in packs.
QUEST_20150317_000962	Siauliai Companies
QUEST_20150317_000963	The main industry of Siauliai is mining, and its speciality is crystals from the Crystal Mine.
QUEST_20150317_000964	Currently, only the 1st Mine Lot is being worked on but the mines used to have two lots.
QUEST_20150317_000965	But the 2nd Mine Lot was closed by the declaration of the bishop to seal away demons. {nl}The alchemist also resides in the village for this reason.
QUEST_20150317_000966	Summa Theologica
QUEST_20150317_000967	Everything about the Statue of 女神 Vakarine is beautiful, {nl}but its most beautiful part is the fact that its special powers {nl}can be used to take you to the world of the 女神es.
QUEST_20150317_000968	Legend of Cunningham
QUEST_20150317_000969	It is a story old enough to be lost from all memory.
QUEST_20150317_000970	During his compulsory labor in the mines, Cunningham met a strange girl that was around seven years old. {nl}The girl kept speaking about a great danger, but knew little about herself.
QUEST_20150317_000971	Cunningham took pity on the girl and cared for her. Soon they became best friends.
QUEST_20150317_000972	But the happiness did not last long; soon the demons attacked the mines. {nl}With the help of the girl, Cunningham fought against the demons to repel Mirtis.
QUEST_20150317_000973	{memo X}
QUEST_20150317_000974	In the end, Cunningham destroyed the mines, sealing Mirtis and himself in it.
QUEST_20150317_000975	Surgery Book Set
QUEST_20150317_000976	People did not forgive the family for waking up the sleeping demons. {nl}People chased away the family in fear of being corrupted {nl}and the family had to roam the kingdom with the people's oppression and discrimination.
QUEST_20150317_000977	The men of that family had a weird sickness. {nl}Their skin was dry and flaking, and they kept on scratching it as if they were in pain.
QUEST_20150317_000978	The skin cracked like the surface of dry earth, with blood and pus flowing out. {nl}They were in pain for a very long time and were unable to sleep. {nl}They were constantly in a state of nervous breakdown.
QUEST_20150317_000979	王國旅遊指南
QUEST_20150317_000980	{memo X}
QUEST_20150317_000981	The color of the spring is sometimes the shade of sapphire and sometimes the shade of jade. {nl}Looking at their profound and mysterious colors makes you wonder if this is the work of the 女神.
QUEST_20150317_000982	我的懺悔
QUEST_20150317_000983	{memo X}
QUEST_20150317_000984	In that case, I shall try to interpret the 女神' Revelation for the rest of my remaining life. {nl}If that goes against her will, the 女神 should punish me right away.
QUEST_20150317_000985	But it will give me the chance to look back at my life. {nl}And in the long run, it could help a Revelator who shows up in the future.
QUEST_20150317_000986	閱覽桌
QUEST_20150317_000987	There are some books on the shelves below the reading desk. {nl}Which book shall we read?
QUEST_20150317_000988	It's too old and worn to look at.
QUEST_20150317_000989	The 4th of X {nl} - {nl} There's been very little traffic coming to town from the capital. {nl} When one family moved in the whole village threw a welcome party. {Nl} After all, how many outsiders do we get to meet these days? {nl}
QUEST_20150317_000990	I might not know for what reason people would come all the way out here for, {nl} but after 聖樹之日, it feels great to be in such a cheerful town. {Nl} I might skip work tomorrow and party along. {Nl} {nl}
QUEST_20150317_000991	The 5th of X {nl} - {nl} I wanted to befriend my new neighbors as soon as possible so I brought some potato dumplings over. {nl}At the door, I could hear the house rattle. My neighbor then appeared, expressionless, {nl}but then had a cheerful expression when he saw the potato dumplings. {Nl}
QUEST_20150317_000992	He apologized for his lack of spirit before, as he and his son were putting up wallpaper. {Nl} What a harmonious family, I wonder if I could create something like that?
QUEST_20150317_000993	The 10th of X {nl} - {nl} Mr. Raman, who lived at the bank of the creek opposite from us, went on leave. His wife said he was off to get firewood. {nl} Well, for a long time he was gone in Klaipeda. {nl}I've heard that you can find a lot of beautiful girls in Klaipeda. {Nl}
QUEST_20150317_000994	The 13th of X {nl} - {nl} Today was 女神 Origin Day, but somehow everyone in town had stomach pains, and could not celebrate. Why this happened specifically on this day I do not know. {Nl}Well, illnesses will be illnesses. After all that, we had to make potato porridge. {Nl}
QUEST_20150317_000995	The 14th of X {nl} - {nl} Last night I had an argument with my little sister. {nl}Writing down what you really think isn't that embarrassing. After what happened, {nl}I made a necklace as a present to her, and she came back to me. {nl}Well, I had to give in eventually. Even so, she disappeared off somewhere one morning. {Nl}
QUEST_20150317_000996	Ah, just now my neighbor made me some delicious porridge. {Nl} In return I made them some warm soup. I can cook too, you know? {Nl}Tonight will be another feast so I'm going to make sure to eat and drink plenty.
QUEST_20150317_000997	The 16th of X {nl} - {nl} I got a stomach-ache drinking soup that I didn't know already went bad. {Nl} I double-checked the smell before eating it, but there was no bad odor. {Nl}I felt horrible inside so I went to the well for water. Even with the water, I continued to feel horrible. {Nl}
QUEST_20150317_000998	I've been throwing up a lot lately but it seems to be getting better now. {Nl}Tomorrow I'm going to go see Mr. Gordon to get some medicinal herbs. {Nl} My little sister still hasn't come back yet. When I go to her room, I find no clothes. Even Mr. Man is getting worried.
QUEST_20150317_000999	The 17th of X {nl} - {nl} The village was eerily quiet today. {Nl}There are no signs of the people who went earlier to get herbs from Mr. Gordon.
QUEST_20150317_001000	The 23rd of X {nl} - {nl} This might be the last time I get to write in this diary. {Nl} Lyliana, you are the only family I have left in this world… {nl} Please be alive somewhere… {Nl}
QUEST_20150317_001001	{nl}(There is something written, but it's all jumbled up and has ceased to be legible.)
QUEST_20150317_001002	未知日期 {nl}- {nl}Several days must've passed. {nl}I've been on the run for around two days now without food or sleep. {nl}The people who fled to Klaipeda were all caught and killed. {nl}I don't even know how many are still alive and can walk. {nl}Everything is as quiet as the shadows, yet moving at a quick pace. We are all tense from fear of attack.
QUEST_20150317_001003	They did not wish for any uproar or disorder. {nl}They are not people. {nl}We must somehow notify Klaipeda. {nl}A last resort would be to abandon everything we can't use and to move out.
QUEST_20150317_001004	{memo X}
QUEST_20150317_001005	{memo X}
QUEST_20150317_001006	{memo X}
QUEST_20150317_001007	你有什麼想說的?
QUEST_20150317_001008	Send two from the entrance to the front lines? {nl}Ha, that's nonsense. Did they ask you for that?
QUEST_20150317_001009	是你? 這會打擾我. {nl}Hmm… I'm thankful that you are willing to join the front line even when you can have it easier here…
QUEST_20150317_001010	I hate people who lack responsibility. {nl}Are there people who can take over your positions?
QUEST_20150317_001011	I like your spirit. {nl}But that doesn't mean I can take you in without question.
QUEST_20150317_001012	We are the undefeated unit of Laimondas. {nl}I only accept the best soldiers I can find.
QUEST_20150317_001013	By the way, are you going to take this guy as well?
QUEST_20150317_001014	I don't know what he does, but please keep this in mind: {nl}War is not a joke. I'll let you take him if you're willing to work with him in battle.
QUEST_20150317_001015	{memo X}
QUEST_20150317_001016	I was late this time. Well, it doesn't matter that much. {nl}Soon my 導師piece will be complete. I hope you guys like it.
QUEST_20150317_001017	未知惡魔
QUEST_20150317_001018	Ah… I almost forgot. I'll be taking this guy along!
QUEST_20150317_001019	我可以感覺到 Laima 的力量.
QUEST_20150317_001020	{memo X}
QUEST_20150317_001021	{memo X}
QUEST_20150317_001022	{memo X}
QUEST_20150317_001023	This is the Seal of Space..{nl}
QUEST_20150317_001024	We will need the Revelator.
QUEST_20150317_001025	The Revelator has came here alone. {nl}正是我想要的。
QUEST_20150317_001026	{memo X}
QUEST_20150317_001027	{memo X}
QUEST_20150317_001028	{memo X}
QUEST_20150317_001029	{memo X}
QUEST_20150317_001030	The mark of Schilt is on my hands thanks to you. {n}If I pass this mark to dumb kingdom soldiers or the Knights of Kaliss, they're going to give me more shifts on watch.
QUEST_20150317_001031	Only an ambitious and clever man such as I could unleash this object's true potential.
QUEST_20150317_001032	I will use the power of Petrification and Ice to awaken the ancient power that existed hundreds years ago. {nl}You just stand there and watch.
QUEST_20150317_001033	I will help keep the Spirits of Time off of you!
QUEST_20150317_001034	正在發生什麼事? {nl}它正在來這邊！注意！
QUEST_20150317_001035	{memo X}
QUEST_20150317_001036	The barrier is up and running. {nl}Please deal with Gesti while I activate the Divine Sphere.
QUEST_20150317_001037	If she's not on the first floor, then she must be on the second. {nl}I hope we're not too late.
QUEST_20150317_001038	This is my friend, Donatas. {nl}I will go up first to figure out Gesti's movements, so come up once you're ready.
QUEST_20150317_001039	嘿！你不應該來這裡！
QUEST_20150317_001040	所以是輕裝盾兵導師送你來… 啊，所以這是那些懦弱的礦工都在談論。
QUEST_20150317_001041	不用擔心的。我不害怕。他們都是假的傳言。 {nl}It's no surprise the mine is shaking.
QUEST_20150317_001042	請求佈告欄
QUEST_20150317_001043	{memo X}
QUEST_20150317_001044	員工 Brendon
QUEST_20150317_001045	{memo X}
QUEST_20150317_001046	(臨時) 請求管理
QUEST_20150317_001047	選擇請求 開始/結束
QUEST_20150317_001048	{memo X}
QUEST_20150317_001049	{memo X}
QUEST_20150317_001050	偉大的商人 Gilliam
QUEST_20150317_001051	你準備好開始到下一階段嗎?
QUEST_20150317_001052	{memo X}
QUEST_20150317_001053	{memo X}
QUEST_20150317_001054	{memo X}
QUEST_20150317_001055	{memo X}
QUEST_20150317_001056	{memo X}
QUEST_20150317_001057	{memo X}
QUEST_20150317_001058	{memo X}
QUEST_20150317_001059	{memo X}
QUEST_20150317_001060	{memo X}
QUEST_20150317_001061	{memo X}
QUEST_20150317_001062	{memo X}
QUEST_20150317_001063	{memo X}
QUEST_20150317_001064	{memo X}
QUEST_20150317_001065	{memo X}
QUEST_20150317_001066	{memo X}
QUEST_20150317_001067	{memo X}
QUEST_20150317_001068	{memo X}
QUEST_20150317_001069	{memo X}
QUEST_20150317_001070	{memo X}
QUEST_20150317_001071	{memo X}
QUEST_20150317_001072	{memo X}
QUEST_20150317_001073	{memo X}
QUEST_20150317_001074	{memo X}
QUEST_20150317_001075	{memo X}
QUEST_20150317_001076	{memo X}
QUEST_20150317_001077	{memo X}
QUEST_20150317_001078	{memo X}
QUEST_20150317_001079	Revelation of Mage Tower
QUEST_20150317_001080	It is an old story of Fedimian before the 女神像.
QUEST_20150317_001081	A long time ago, the people of Fedimian were ordinary {nl}- not much different from the ordinary people of the rest of the world. {nl}However, the people of Fedimian did differ from their worldly peers in one aspect.
QUEST_20150317_001082	The people of Fedimian were very cautious. In the sense that they take the word 'cautious' much more seriously. {nl}These people were as cautious around fire as they were without.
QUEST_20150317_001083	The Fedimians were modest about this with others. {nl}Even those who stayed at Fedimian for a while could not pick up the trait.
QUEST_20150317_001084	Thanks to this behavior, the people of Fedimian fared better during tough times, as they were able to sense danger coming.
QUEST_20150317_001085	Because of this, no few words are said about the cautiousness of the Fedimian people.
QUEST_20150317_001086	At Fedimian, if someone dropped money on the ground, it will be gone forever. In a world where money is mostly silver coin, only the creditors would know exactly how much money has been lost in this manner.
QUEST_20150317_001087	Why money disappears into the ground at Fedimian remains unknown. {nl}Some people believe the 女神 Zemyna absorbs money that makes contact with her area. {nl}But most commoners believe this was done to reduce the demand of silver coins from creditors.
QUEST_20150317_001088	By believing that the 女神 herself takes the silver, the people found it fruitless trying to dig up silver on her grounds. {nl}The fact that you can offer silver coin at Fedimian as tribute to her reinforces this idea.
QUEST_20150317_001089	In any case, the fact that one could lose money by dropping it on Fedimian soil has made Fedimians very careful in handling their money.
QUEST_20150317_001090	However, as much as one tries to be careful, mistakes still happen. {nl}More so with the case of young girls. {nl}One day, it happened to a girl named Aiste.
QUEST_20150317_001091	Normally, when one drops silver coins on the ground, it would scatter about on the road, and then disappear without a trace. {nl}Fedimians usually curse their own carelessness and move on, but Aiste was different: she wondered why and how it happens.
QUEST_20150317_001092	To find out what happened, Aiste began inspecting the area she lost her coins at. {nl}In her search she came across a beggar beside the deep end of the canal.
QUEST_20150317_001093	{memo X}
QUEST_20150317_001094	{memo X}
QUEST_20150317_001095	Almost immediately, the beggar felt guilty of the mocking words he blurted out. He apologized to Aiste.
QUEST_20150317_001096	{memo X}
QUEST_20150317_001097	Upon hearing the beggar's words, Aiste thanked the beggar, and went on to follow his advice. {nl}Through his selfless act, the beggar suddenly felt a revived sense of responsibility. He looked toward the silhouette of the leaving Aiste, his heart heavy and warm from this experience.
QUEST_20150317_001098	Aiste went to the orchards at the outskirts of Fedimian where she worked. {nl}There, while one could just pick fruit from the trees, it was also important to take the fruit that fell on the ground.
QUEST_20150317_001099	Smaller hands worked better for picking fruits, so young children were often hired at the orchards. {nl}Some orchards took it a step further: hiring monkeys, whose hands were smaller than that of children, to pick fruit. Monkeys did work more effectively than children, but often ate the fruit they picked. Thus, most owners relied on hiring children.
QUEST_20150317_001100	Moving back, Aiste visited the orchard she worked at and explained her situation to the orchard owner. {nl}Unfortunately, the owner was not in a good mood, having just had a quarrel with his wife. {nl}He, like all other Fedimians, knew about the phenomenon, and saw no reason to give Aiste more money.
QUEST_20150317_001101	{memo X}
QUEST_20150317_001102	{memo X}
QUEST_20150317_001103	Aiste set towards the silversmith's place as soon as she heard those words. {Nl}Fortunately, the house was located outside Fedimian walls. {Nl}Had it been inside, the silversmith ran the risk of losing his money and silverware to the soil.
QUEST_20150317_001104	It is for this reason that he lives on the outskirts of Fedimian. {nl}Aiste knocked on the front door and explained her situation to him as soon as he answered.
QUEST_20150317_001105	{memo X}
QUEST_20150317_001106	{memo X}
QUEST_20150317_001107	{memo X}
QUEST_20150317_001108	{memo X}
QUEST_20150317_001109	The silversmith did not take to heart his own words, but Aiste did. {nl}She immediately set out to do what was said. The silversmith felt sorry for Aiste, {nl}but did not have the courage to call her back as she faded into the distance.
QUEST_20150317_001110	{memo X}
QUEST_20150317_001111	{memo X}
QUEST_20150317_001112	Aiste knew in her heart that it was the 女神 Zemyna that was addressing her. {nl}She stopped crying, cleared her voice and replied so.
QUEST_20150317_001113	{memo X}
QUEST_20150317_001114	{memo X}
QUEST_20150317_001115	{memo X}
QUEST_20150317_001116	The 女神's voice faded with those words, and Aiste found silver coins under her feet. {nl}She looked to where she had left her coins and found that the tears she shed had transformed into coins.{nl}Aiste was very happy, and made sure to pick up all the silver before leaving.
QUEST_20150317_001117	{memo X}
QUEST_20150317_001118	{memo X}
QUEST_20150317_001119	{memo X}
QUEST_20150317_001120	Aiste obliged and gave her extra coins to the silversmith. {nl}After this, the silversmith gave Aiste a bag of coins.
QUEST_20150317_001121	{memo X}
QUEST_20150317_001122	{memo X}
QUEST_20150317_001123	Saying that, Aiste opened the bag of coins she got from the silversmith and showed the orchard owner. {nl}The orchard owner was extremely surprised, as the amount of money she got from the 女神 and the silversmith surpassed the amount he had.
QUEST_20150317_001124	{memo X}
QUEST_20150317_001125	{memo X}
QUEST_20150317_001126	Even though the beggar was exhausted, he cupped his hands to get his coins back. {nl}Seeing this, Aiste was brought to the brink of tears. {nl}She wondered how much begging the beggar had to do to give her her coins back. {nl}With a heavy heart, Aiste gave the old beggar the coins.
QUEST_20150317_001127	{memo X}
QUEST_20150317_001128	The beggar looked towards Aiste's distant shadow, and opened the present she gave him, {nl}curious to what was inside. Inside, he was surprised to find dozens of silver coins. {nl}Now he understood why Aiste was able to depart much more quickly than she arrived - she had lightened her load by giving him the excess.
QUEST_20150317_001129	For a beggar who had been stingy over a single silver coin, the fact Aiste could simply give away several tens of times that amount moved him. {nl}The fact that Aiste, who had went off and solved the mystery of Fedimian, came back and gave him what she really didn't owe, made the beggar thankful.
QUEST_20150317_001130	The more he thought, the less the beggar was able to hold back his tears. {nl}As he cried, he noticed something odd - every shining teardrop that touched the ground transformed to silver coins.
QUEST_20150317_001131	The beggar could not believe his eyes, but quickly remembered Aiste words about a blessing from the 女神. {nl}After a while, the beggar stopped crying, and went to pick up the coins and put them in the bag Aiste gave him.
