SKILL_20150317_000001	攻擊
SKILL_20150317_000716	[Achat] 物理 雷屬性 魔法
SKILL_20150317_000717	[Shnayim] 物理 雷屬性 魔法
SKILL_20150317_000718	[Mentiken] 物理 毒屬性 魔法
SKILL_20150317_000719	[Gazing Golem] 物理 火屬性 打擊
SKILL_20150317_000720	[Gazing Golem] 物理 火屬性 魔法
SKILL_20150317_000721	[Reaverpede] 魔法 毒屬性 魔法
SKILL_20150317_000722	[Reaverpede] 物理 毒屬性 魔法
SKILL_20150317_000723	[Mentiken] 物理 無屬性 魔法
SKILL_20150317_000724	[Mentiken] 物理 無屬性 刺擊
SKILL_20150317_000725	[Velorchard] 魔法 毒屬性 魔法
SKILL_20150317_000726	[Velorchard] 物理 無屬性 魔法
SKILL_20150317_000727	[Moldyhorn] 物理 毒屬性 魔法
SKILL_20150317_000728	[Moldyhorn] 物理 無屬性 打擊
SKILL_20150317_000729	[Moldyhorn] 魔法 毒屬性 魔法
SKILL_20150317_000730	[Giant Wood Goblin] 魔法 無屬性 刺擊
SKILL_20150317_000731	[Giant Wood Goblin] 物理 無屬性 打擊
SKILL_20150317_000732	[Glass_Mole] 魔法 無屬性 打擊
SKILL_20150317_000733	[Harpeia] 物理 無屬性 刺擊
SKILL_20150317_000734	[Harpeia] 魔法 無屬性 魔法
SKILL_20150317_000735	[Harpeia] 物理 雷屬性 魔法
SKILL_20150317_000736	[Rajatoad] 物理 冰屬性 魔法
SKILL_20150317_000737	[Mallet Wyvern] 物理 冰屬性 打擊
SKILL_20150317_000738	[Mallet Wyvern] 物理 冰屬性 魔法
SKILL_20150317_000739	[Merge] 物理 無屬性 斬擊
SKILL_20150317_000740	[Merge] 物理 無屬性 刺擊
SKILL_20150317_000741	[Unicorn] 物理 無屬性 刺擊
SKILL_20150317_000742	[Unicorn] 物理 闇屬性 刺擊
SKILL_20150317_000743	[Unicorn] 物理 闇屬性 斬擊
SKILL_20150317_000744	[Unicorn] 魔法 闇屬性 魔法
SKILL_20150317_000745	[Jack-o-Lantern] 物理 火屬性 刺擊
SKILL_20150317_000746	[Gesti] 魔法 闇屬性 魔法
SKILL_20150317_000747	[Golem_Gray] 物理 地屬性 打擊
SKILL_20150317_000748	[Golem_Gray] 物理 地屬性 魔法
SKILL_20150317_000749	[Molich]Basic 普通攻擊
SKILL_20150317_000750	[Molich] 普通攻擊, Frontal
SKILL_20150317_000751	[Si變異] 物理 地屬性 打擊
SKILL_20150317_000752	[Nepenthes] 物理 地屬性 打擊
SKILL_20150317_000753	[Nepenthes] 治療 Buff Skill
SKILL_20150317_000754	[Capria] 物理 毒屬性 斬擊
SKILL_20150317_000755	[Capria] Monster Summon
SKILL_20150317_000756	[Specter Monarch] Summon
SKILL_20150317_000757	[Netherbovine] 魔法 闇屬性 魔法
SKILL_20150317_000758	[Yonazolem Monster Summon]
SKILL_20150317_000759	[Field Chaparition]Basic Normal 闇
SKILL_20150317_000760	[Field Chaparition]魔法 Normal 闇
SKILL_20150317_000761	[Field Kerberos]Basic Normal 火
SKILL_20150317_000762	[Field Kerberos]魔法 魔法 火
SKILL_20150317_000763	[Poata] 物理 毒屬性 打擊
SKILL_20150317_000764	[Poata] 物理 毒屬性 Monster Summon
SKILL_20150317_000765	[Red Vubbe Fighter] 物理 火屬性 打擊
SKILL_20150317_000766	魔法 魔法 闇
SKILL_20150317_000767	[Vubbe Fighter] 物理 地屬性 Monster Summon
SKILL_20150317_000768	[Red Vubbe Fighter] 物理 火屬性 Monster Summon
SKILL_20150317_000769	[Corrupted] 物理 闇屬性 刺擊
SKILL_20150317_000770	[Carnivore] Monster Summon
SKILL_20150317_000771	[Stone_Whale] Monster Summon
SKILL_20150317_000772	[Paladin Master] 普通攻擊
SKILL_20150317_000773	[Priest Master] 普通攻擊
SKILL_20150317_000774	[Hunter Master] 普通攻擊
SKILL_20150317_000775	[Krivis Master] 普通攻擊
SKILL_20150317_000776	[Barbarian Master] 普通攻擊
SKILL_20150317_000777	[Linker Master] 普通攻擊
SKILL_20150317_000778	[Wugushi Master] 普通攻擊
SKILL_20150317_000779	[Sadhu Master] 普通攻擊
SKILL_20150317_000780	[Rodelero Master] 普通攻擊
SKILL_20150317_000781	[Scout Master] 普通攻擊
SKILL_20150317_000782	[Rogue Master] 普通攻擊
SKILL_20150317_000783	[Monk Master] 普通攻擊
SKILL_20150317_000784	[Oracle Master] 普通攻擊
SKILL_20150317_000785	[Druid Master] 普通攻擊
SKILL_20150317_000786	Basic 攻擊
SKILL_20150317_000787	攻擊 an enemy from a short distance.
SKILL_20150317_000788	Right-hand Bow (Two-handed Bow only)
SKILL_20150317_000789	Deal 傷害 by swinging your weapon to an enemy from a short distance.
SKILL_20150317_000790	攻擊 an enemy with 魔法 from a far distance.
SKILL_20150317_000791	攻擊 an enemy from a short distance(Warrior's Two-handed Sword only)
SKILL_20150317_000792	攻擊 an enemy 魔法 from a far distance.(雙手法杖)
SKILL_20150317_000793	Dagger 刺擊
SKILL_20150317_000794	攻擊 an enemy from a short distance. Knockbacks the target when it is struck a certain number of times.
SKILL_20150317_000795	Dream Song
SKILL_20150317_000796	Shadow Umbrella
SKILL_20150317_000797	In development
SKILL_20150317_000798	Item skill
SKILL_20150317_000799	Dash 攻擊
SKILL_20150317_000800	This is the dash version of the base 攻擊
SKILL_20150317_000801	閃電
SKILL_20150317_000802	{memo X}Lv.1 攻擊 Ratio #{SkillFactor}#, Splash #{SkillSR}#
SKILL_20150317_000803	Basic
SKILL_20150317_000804	Basic 攻擊 2
SKILL_20150317_000805	Bow Left hand
SKILL_20150317_000806	Right-hand Bow (Crossbow only)
SKILL_20150317_000807	Public_Test 1
SKILL_20150317_000808	Mischief 1
SKILL_20150317_000809	Public_Test 2
SKILL_20150317_000810	Mischief 2
SKILL_20150317_000811	Public_Test 3
SKILL_20150317_000812	Mischief 3
SKILL_20150317_000813	Public_Test 4
SKILL_20150317_000814	Mischief 4
SKILL_20150317_000815	Public_Test 5
SKILL_20150317_000816	Mischief 5
SKILL_20150317_000817	{memo X}冰 paster
SKILL_20150317_000818	{memo X}{#993399}{ol}[魔法] - [冰] - [打擊]{/}{/}{nl}Summon huge snowball and 傷害 nearby enemies.
SKILL_20150317_000819	{memo X}攻擊 #{SkillAtkAdd}# {nl} Splash #{CaptionRatio}# {nl} Duration #{CaptionTime}# seconds
SKILL_20150317_000820	Hoplite
SKILL_20150317_000821	In development
SKILL_20150317_000822	{memo X}攻擊 + #{SkillFactor}# , Splash #{SkillSR}# {nl}Consume #{SpendSP}# SP
SKILL_20150317_000823	Guard
SKILL_20150317_000824	Block enemy 攻擊 with shield [Guard Point 150]
SKILL_20150317_000825	物理 攻擊 Ratio: +#{SkillFactor}# + #{SkillAtkAdd}#
SKILL_20150317_000826	[Golem 卡片] 物理 無屬性 打擊
SKILL_20150317_000827	[Mushcaria 卡片] 物理 毒屬性 打擊
SKILL_20150317_000828	[Rocktortuga 卡片] 物理 無屬性 打擊
SKILL_20150317_000829	[Poata 卡片] 物理 闇屬性 魔法
SKILL_20150317_000830	[Tutu 卡片] 物理 毒屬性 斬擊
SKILL_20150317_000831	[Vubbe Fighter 卡片] 物理 無屬性 打擊
SKILL_20150317_000832	[Red Vubbe Fighter 卡片] 物理 無屬性 刺擊
SKILL_20150317_000833	[Chafer 卡片] 物理 毒屬性 魔法
SKILL_20150317_000834	[Glass_Mole 卡片] 物理 無屬性 刺擊
SKILL_20150317_000835	[Woodspirit 卡片] 物理 無屬性 魔法
SKILL_20150317_000836	[Cyclops 卡片] 物理 闇屬性 打擊
SKILL_20150317_000837	[Salamander 卡片] 魔法 火屬性 魔法
SKILL_20150317_000838	[Bearkaras 卡片] 物理 無屬性 魔法
SKILL_20150317_000839	[Dazzled Specter 卡片] 魔法 闇屬性 打擊
SKILL_20150317_000840	[Stone_Whale 卡片] 魔法 無屬性 打擊
SKILL_20150317_000841	[Ginklas 卡片] 物理 火屬性 打擊
SKILL_20150317_000842	[Carapace 卡片] 物理 無屬性 打擊
SKILL_20150317_000843	[Specter Monarch 卡片] 魔法 闇屬性 魔法
SKILL_20150317_000844	[Netherbovine 卡片] 物理 闇屬性 刺擊
SKILL_20150317_000845	[Mirtis 卡片] 魔法 闇屬性 斬擊
SKILL_20150317_000846	[Sequoia 卡片] 物理 火屬性 魔法
SKILL_20150317_000847	[Rikaus 卡片] 物理 闇屬性 斬擊
SKILL_20150317_000848	[Werewolf 卡片] 物理 闇屬性 魔法
SKILL_20150317_000849	[Shadowgaoler 卡片] 魔法 闇屬性 斬擊
SKILL_20150317_000850	[Carnivore 卡片] 物理 毒屬性 魔法
SKILL_20150317_000851	[Minotaur 卡片] 魔法 火屬性 魔法
SKILL_20150317_000852	[Throneweaver 卡片] 魔法 毒屬性 打擊
SKILL_20150317_000853	[Biteregina 卡片] 物理 無屬性 刺擊
SKILL_20150317_000854	[Chapparition 卡片] 魔法 闇屬性 魔法
SKILL_20150317_000855	[Mummyghast 卡片] 物理 闇屬性 魔法
SKILL_20150317_000856	冰 Breath
SKILL_20150317_000857	[Ironbaum 卡片] 物理 火屬性 打擊
SKILL_20150317_000858	[Gorgon 卡片] 魔法 闇屬性 刺擊
SKILL_20150317_000859	[Drapeliun 卡片] 物理 闇屬性 刺擊
SKILL_20150317_000860	[Unicorn 卡片] 魔法 闇屬性 斬擊
SKILL_20150317_000861	[Moldyhorn 卡片] 魔法 毒屬性 魔法
SKILL_20150317_000862	[Rytaswort 卡片] 魔法 毒屬性 刺擊
SKILL_20150317_000863	[Harpeia 卡片] 物理 雷屬性 斬擊
SKILL_20150317_000864	[Mothstem 卡片] 物理 雷屬性 刺擊
SKILL_20150317_000865	[Merge 卡片] 物理 無屬性 斬擊
SKILL_20150317_000866	[Clymen 卡片] 物理 毒屬性 打擊
SKILL_20150317_000867	[Devilglove 卡片] 魔法 雷屬性 打擊
SKILL_20150317_000868	[Necroventer 卡片] 魔法 闇屬性 魔法
SKILL_20150317_000869	[Molich 卡片] 物理 闇屬性 打擊
SKILL_20150317_000870	[Yonazolem 卡片] 魔法 無屬性 打擊
SKILL_20150317_000871	[Abomination 卡片] 物理 闇屬性 斬擊
SKILL_20150317_000872	[Ellaganos 卡片] 物理 闇屬性 刺擊
SKILL_20150317_000873	[Archon 卡片] 物理 火屬性 打擊
SKILL_20150317_000874	[Gaigalas 卡片] 物理 火屬性 魔法
SKILL_20150317_000875	[Bramble 卡片] 魔法 闇屬性 打擊
SKILL_20150317_000876	[Honeypin 卡片] 物理 毒屬性 打擊
SKILL_20150317_000877	[Bebraspion 卡片] 物理 雷屬性 打擊
SKILL_20150317_000878	[Giant Red Wood Goblin 卡片] 魔法 火屬性 魔法
SKILL_20150317_000879	[Giant Wood Goblin 卡片] 魔法 無屬性 魔法
SKILL_20150317_000880	[Kirmelich 卡片] 物理 毒屬性 刺擊
SKILL_20150317_000881	[Magbug] 物理 火屬性 魔法
SKILL_20150317_000882	[Kepachieftain 卡片] 物理 毒屬性 打擊
SKILL_20150317_000883	[Achat 卡片] 魔法 無屬性 魔法
SKILL_20150317_000884	[Shnayim 卡片] 魔法 雷屬性 魔法
SKILL_20150317_000885	[Tomb Lord 卡片] 魔法 闇屬性 魔法
SKILL_20150317_000886	[Denoptic 卡片] 魔法 雷屬性 斬擊
SKILL_20150317_000887	[Iltiswort 卡片] 物理 毒屬性 魔法
SKILL_20150317_000888	[Scorpio 卡片] 物理 毒屬性 刺擊
SKILL_20150317_000889	[Enchant 毒] 魔法 毒屬性
SKILL_20150317_000890	[Ravinepede 卡片] 物理 毒屬性 打擊
SKILL_20150317_000891	[Rajatoad 卡片] 物理 水屬性 魔法
SKILL_20150317_000892	[Unknocker 卡片] 物理 闇屬性 打擊
SKILL_20150317_000893	[Saltistter 卡片] 物理 水屬性 打擊
SKILL_20150317_000894	[Deadborn 卡片] 物理 無屬性 斬擊
SKILL_20150317_000895	[Corrupted 卡片] 魔法 聖屬性 魔法
SKILL_20150317_000896	[Mallet Wyvern 卡片] 魔法 無屬性 打擊
SKILL_20150317_000897	[Moyabruka 卡片] 物理 無屬性 打擊
SKILL_20150317_000898	[Colimencia 卡片] 物理 水屬性 打擊
SKILL_20150317_000899	[Rajapearl 卡片] 魔法 水屬性 打擊
SKILL_20150317_000900	[Mushwort 卡片] 魔法 毒屬性 魔法
SKILL_20150317_000901	[Lepus 卡片] 物理 水屬性 刺擊
SKILL_20150317_000902	[Sparnas 卡片] 物理 雷屬性 魔法
SKILL_20150317_000903	[Cactusvel 卡片] 物理 毒屬性 魔法
SKILL_20150317_000904	[Throw] 物理 無屬性 打擊
SKILL_20150317_000905	[Velorchard 卡片] 魔法 毒屬性 魔法
SKILL_20150317_000906	[Luropus 卡片] 物理 無屬性 刺擊
SKILL_20150317_000907	[Dionia 卡片] 魔法 無屬性 魔法
SKILL_20150317_000908	[Gazing Golem 卡片] 物理 火屬性 打擊
SKILL_20150317_000909	[Summon Leaves] 無屬性 魔法
SKILL_20150317_000910	[Hydra 卡片] 物理 水屬性 魔法
SKILL_20150317_000911	[Moa 卡片] 物理 無屬性 打擊
SKILL_20150317_000912	[Jack O'Lantern 卡片] 魔法 火屬性 刺擊
SKILL_20150317_000913	[Mant冰n 卡片] 物理 無屬性 魔法
SKILL_20150317_000914	[Mineloader 卡片] 物理 雷屬性 魔法
SKILL_20150317_000915	[Grinender 卡片] 魔法 火屬性 魔法
SKILL_20150317_000916	[Helgasercle 卡片] 物理 闇屬性 斬擊
SKILL_20150317_000917	[Yekub 卡片] 魔法 闇屬性 打擊
SKILL_20150317_000918	[Physical Shield] 無屬性 魔法
SKILL_20150317_000919	[Sparnasman 卡片] 物理 無屬性 魔法
SKILL_20150317_000920	突刺
SKILL_20150317_000921	{memo X}{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl}刺擊 and push back an enemy.
SKILL_20150317_000922	{memo X}攻擊 #{SkillAtkAdd}#{nl}Splash #{SkillSR}#
SKILL_20150317_000923	狂擊
SKILL_20150317_000924	{memo X}${#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl}Inflicts 傷害 to a target by strongly swinging your weapon.
SKILL_20150317_000925	奮起
SKILL_20150317_000926	{memo X}增加 your 攻擊, but decreases your 防禦.
SKILL_20150317_000927	物理 傷害: +#{CaptionRatio}#{nl}物理 防禦: -#{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_000928	集中
SKILL_20150317_000929	{memo X}$增加 the power of your 攻擊ing skills.
SKILL_20150317_000930	Additional 傷害: +#{CaptionRatio2}#{nl}Number of Hits: #{CaptionRatio}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_000931	抑制
SKILL_20150317_000932	{memo X}Decreases your maximum HP, but 增加 your 攻擊.
SKILL_20150317_000933	{memo X}物理 攻擊 + #{CaptionRatio}#{nl}Maximum HP - #{CaptionRatio2}# {nl} Duration #{CaptionTime}# seconds
SKILL_20150317_000934	盾心打擊
SKILL_20150317_000935	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}攻擊 by bumping your shield. {nl} Inflicts more 傷害 after blocking an enemy's 攻擊.
SKILL_20150317_000936	盾緣敲擊
SKILL_20150317_000937	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl}攻擊 by using the edge of your shield. {nl} Inflicts more 傷害 to both petrified and frozen enemies.
SKILL_20150317_000938	挑釁
SKILL_20150317_000939	{memo X}$打擊 your shield to provoke nearby enemies.
SKILL_20150317_000940	Targets: #{SkillSR}#{nl}Maximum Provocation: +#{CaptionRatio}# for #{CaptionTime}# seconds
SKILL_20150317_000941	{memo X}Decreases your 攻擊, but 增加 your 防禦.
SKILL_20150317_000942	物理 防禦: +#{CaptionRatio}#{nl}物理 傷害: -#{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_000943	盾牌投擲
SKILL_20150317_000944	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl} Throw shield to 攻擊 enemy.
SKILL_20150317_000945	高級守護
SKILL_20150317_000946	蝶
SKILL_20150317_000947	車輪斬
SKILL_20150317_000948	{memo X}{#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl} Perform an uppercut with your weapon, launching enemies.
SKILL_20150317_000949	蓄力一擊
SKILL_20150317_000950	{memo X}$ {#DD5500}{ol}[物理] - [打擊]{/}{/}{nl} Gather up power and use your weapon to 攻擊 targets by smashing it to the ground.
SKILL_20150317_000951	{memo X}攻擊 #{SkillAtkAdd}#{nl}Cast Time 0.5 seconds{nl}Splash #{SkillSR}#
SKILL_20150317_000952	王冠
SKILL_20150317_000953	{memo X}{#DD5500}{ol}[物理] - [打擊]{/}{/}{nl} Release a powerful 攻擊 by smashing on the enemy's head. Temporarily decreases the enemy's INT and SPR.
SKILL_20150317_000954	{memo X}攻擊 #{SkillAtkAdd}#{nl}Splash #{SkillSR}#{nl}{#339999}{ol}[Shock]{/}{/} Duration #{CaptionTime}# seconds
SKILL_20150317_000955	十字守護
SKILL_20150317_000956	{memo X}Use your weapon to take a defensive stance.
SKILL_20150317_000957	防禦: +#{CaptionRatio}#{nl}Block: +#{CaptionRatio2}#
SKILL_20150317_000958	連續斬
SKILL_20150317_000959	{memo X}${#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl}Deal five consecutive frontal 攻擊s to an enemy.
SKILL_20150317_000960	長矛突刺
SKILL_20150317_000961	{memo X}${#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl} 攻擊 an enemy consecutively with a spear.
SKILL_20150317_000962	刺擊
SKILL_20150317_000963	{memo X}${#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl} Inflicts 傷害 on an enemy with a strong stab.{nl} A continuous 攻擊 bonus will apply depending on the enemy's size.
SKILL_20150317_000964	{memo X}攻擊 #{SkillAtkAdd}#{nl}Medium target 2 攻擊s{nl}Large target 3 攻擊s
SKILL_20150317_000965	舉矛
SKILL_20150317_000966	{memo X}$Switch into the Window stance.{nl} 增加 Critical Rate, but decreases 迴避.
SKILL_20150317_000967	{memo X}Critical + #{CaptionRatio}#{nl}迴避 - #{CaptionRatio2}#{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_000968	同步攻擊
SKILL_20150317_000969	{memo X}${#DD5500}{ol}[物理] - [刺擊] - [打擊]{/}{/}{nl} Inflicts 傷害 on an enemy by using a shield and spear.
SKILL_20150317_000970	{memo X}Spear 攻擊 #{SkillAtkAdd}#{nl}Shield 攻擊 #{CaptionRatio}#{nl}Splash #{SkillSR}#
SKILL_20150317_000971	長驅直入
SKILL_20150317_000972	{#DD5500}{ol}[物理] - [刺擊]{/}{/}{nl} Inflicts 傷害 to an enemy by jumping to your designated location.
SKILL_20150317_000973	長矛投擲
SKILL_20150317_000974	盾牌衝鋒
SKILL_20150317_000975	{memo X}${#DD5500}{ol}[物理] - [打擊]{/}{/}{nl} Run while 待命ing up your shield. The first target hit by the shield falls down.
SKILL_20150317_000976	{memo X}攻擊 #{SkillAtkAdd}#{nl}Max. Duration 10 seconds{nl}Consume STA
SKILL_20150317_000977	山擊
SKILL_20150317_000978	{memo X}${#DD5500}{ol}[物理] - [斬擊]{/}{/}{nl} Uses a strong 攻擊 on the lower part of a target.
SKILL_20150317_000979	{memo X}攻擊 #{SkillAtkAdd}#{nl}{#339999}{ol}[Stun]{/}{/} Duration 7 seconds
SKILL_20150317_000980	圓盾碎擊
SKILL_20150317_000981	{memo X}${#DD5500}{ol}[物理] [打擊]{/}{/}{nl} Inflicts 傷害 by strongly smashing your shield to the target. Has a high 機率 to inflict the 黑暗 status effect to the target.
SKILL_20150317_000982	{memo X}攻擊 #{SkillAtkAdd}#{nl}{#339999}{ol}[闇]{/}{/} Duration 3 seconds{nl}Splash #{SkillSR}#
SKILL_20150317_000983	盾牌推擊
SKILL_20150317_000984	{memo X}${#DD5500}{ol}[物理] [打擊]{/}{/}{nl} Use your shield to interfere with an enemy.{nl} Inflicts the Unbalanced status effect to the target. 
SKILL_20150317_000985	{memo X}攻擊 #{SkillAtkAdd}#{nl}{#339999}{ol}[Unbalanced]{/}{/} Duration 5 seconds
SKILL_20150317_000986	穿刺
SKILL_20150317_000987	{memo X}${#DD5500}{ol}[刺擊]{/}{/}{nl} Impales a small monster with a spear. Using this skill while a monster is skewered inflicts 傷害.
SKILL_20150317_000988	大地波動
SKILL_20150317_000989	{memo X}${#DDD300}{ol}[打擊]{/}{/}{nl} Gather up power and use your weapon to 攻擊 the enemy by smashing it to the ground.
SKILL_20150317_000990	馳驅
SKILL_20150317_000991	增加你的移動速度.
SKILL_20150317_000992	{memo X}Movement Speed +#{CaptionRatio}#%{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_000993	騎乘衝鋒
SKILL_20150317_000994	{memo X}${#DDD300}{ol}[打擊]{/}{/}{nl}衝鋒 forward with power to throw your target away.
SKILL_20150317_000995	厄運穿刺
SKILL_20150317_000996	{memo X}${#DDD300}{ol}[刺擊]{/}{/}{nl} Gather up power to release a strong stab to an enemy.
SKILL_20150317_000997	衝鋒
SKILL_20150317_000998	{memo X}${#DD5500}{ol}[斬擊]{/}{/}{nl} Continuously spin your spear above your head to 攻擊 an enemy.
SKILL_20150317_000999	{memo X}攻擊 #{SkillAtkAdd}#{nl}Max. Duration 10 seconds{nl}Splash #{SkillSR}#
SKILL_20150317_001000	Dragging Death
SKILL_20150317_001001	{memo X}{#DDD300}{ol}[刺擊]{/}{/}{nl}Continuously 攻擊 enemies in front.
SKILL_20150317_001002	開腸剖肚
SKILL_20150317_001003	{memo X}${#DD5500}{ol}[刺擊]{/}{/}{nl} Release a strong stab to an enemy then kick it away afterwards.
SKILL_20150317_001004	狂怒
SKILL_20150317_001005	{memo X}$增加 your 攻擊 when you use consecutive basic 攻擊s on the target.
SKILL_20150317_001006	{memo X}$攻擊 +#{CaptionRatio}# {nl} Stacks up to #{CaptionRatio2}# times {nl} Duration #{CaptionTime}# seconds
SKILL_20150317_001007	Aggressor
SKILL_20150317_001008	{memo X}$Your 攻擊s are guaranteed to hit, but your Critical Rate and Critical 迴避 decreases.
SKILL_20150317_001009	{memo X}Critical 機率 -#{CaptionRatio}#%{nl}Critical 迴避 -#{CaptionRatio}#%{nl}Duration #{CaptionTime}# seconds
SKILL_20150317_001010	Savagery
SKILL_20150317_001011	{memo X}$While the buff is active, a continuous 攻擊 bonus applies to {#DD5500}{ol}[刺擊]{/}{/} 攻擊s.
SKILL_20150317_001012	{#DD5500}{ol}[刺擊]{/}{/} Continous 攻擊 Bonus {nl} Duration: #{CaptionTime}# seconds
SKILL_20150317_001013	戰吼
SKILL_20150317_001014	{memo X}Reduces the nearby target's 防禦 and add it to your 攻擊.
SKILL_20150317_001015	Targets: #{CaptionRatio}#{nl} Maximum 物理 防禦: -#{CaptionRatio2}#{nl}Duration: #{CaptionTime}# seconds
SKILL_20150317_001016	踐踏
SKILL_20150317_001017	{memo X}${#DD5500}{ol}[打擊]{/}{/}{nl} Stomp down on a target while airborne.
SKILL_20150317_001018	{memo X}武器保養
SKILL_20150317_001019	{memo X}Open a shop to 維修 weapons.
SKILL_20150317_001020	{memo X}護甲保養
SKILL_20150317_001021	{memo X}Open a shop to 維修 armor.
SKILL_20150317_001022	維修
SKILL_20150317_001023	{memo X}Use your shield to interfere with an enemy by pushing it down.
SKILL_20150317_001024	捕捉
SKILL_20150317_001025	海盜旗
SKILL_20150317_001026	鐵鉤
SKILL_20150317_001027	龍骨牽引
SKILL_20150317_001028	解鎖寶箱
SKILL_20150317_001029	{memo X}Cancel Sub Weapon
SKILL_20150317_001030	{memo X}${#DDD300}{ol}[Buff]{/}{/}{nl} While the buff is active, a continuous 攻擊 bonus bonus applies to {#CC3300}{ol}[刺擊]{/}{/} 攻擊s.
SKILL_20150317_001031	{memo X}Duration #{CaptionTime}# seconds{nl} Consumes #{SpendSP}# SP
SKILL_20150317_001032	徵召
SKILL_20150317_001033	方陣
SKILL_20150317_001034	西班牙方陣
SKILL_20150317_001035	鶴翼陣
SKILL_20150317_001036	楔形陣
SKILL_20150317_001037	蘇格蘭方陣
SKILL_20150317_001038	龜甲陣
SKILL_20150317_001039	Skirmisher
SKILL_20150317_001040	轉向
SKILL_20150317_001041	英勇契約
SKILL_20150317_001042	{memo X}$增加 your 攻擊 speed and 攻擊 rate when attacked, while decreasing your 防禦.
SKILL_20150317_001043	苦痛屏障
SKILL_20150317_001044	{memo X}Increased Movement Speed +#{CaptionTime}# for #{CaptionRatio}#% seconds
SKILL_20150317_001045	劍柄打擊
SKILL_20150317_001046	{memo X}{#CC3300}{ol}[刺擊]{/}{/} Attribute{nl}傷害 #{SkillFactor}#%{nl}Splash #{SkillSR}#{nl} Consumption SP #{SpendSP}#
SKILL_20150317_001047	雙酬
SKILL_20150317_001048	{memo X}Three times of hit 傷害
SKILL_20150317_001049	折磨
SKILL_20150317_001050	旋風斬
SKILL_20150317_001051	{memo X}$Inflicts 傷害 by releasing a powerful spinning 攻擊 to nearby enemies.
SKILL_20150317_001052	{memo X}Lv.1 攻擊 Rate #{SkillFactor}#, Splash 3Lv.2 攻擊 Rate #{SkillFactor}#, Splash 6Lv.3 攻擊 Rate #{SkillFactor}#, Splash 9Lv.4 攻擊 Rate #{SkillFactor}#, Splash 12Lv.5 攻擊 Rate #{SkillFactor}#, Splash 15
SKILL_20150317_001053	{memo X}$Selfdestruct
SKILL_20150317_001054	Shadow Clone
SKILL_20150317_001055	Prepare for 攻擊
SKILL_20150317_001056	Murmillo 1
SKILL_20150317_001057	Murmillo 2
SKILL_20150317_001058	Defend yourself against 攻擊s from enemies.
SKILL_20150317_001059	{memo X}Buff Duration #{CaptionTime}#sec{nl}#Paering Probability {CaptionRatio}#%
SKILL_20150317_001060	{memo X}Use shoulder to tackle and push away enemy
SKILL_20150317_001061	{memo X}{#CC3300}{ol}[打擊]{/}{/} Attribute{nl} 攻擊 #{SkillFactor}#%+#{SkillAtkAdd}#{nl}Splash #{SkillSR}#{nl} SP Consumed #{SpendSP}#
SKILL_20150317_001062	{memo X}Increase Knockdown Power
SKILL_20150317_001063	{memo X}Use chain to 奪取 and fling nearby enemy.
SKILL_20150317_001064	Curse
SKILL_20150317_001065	能量矢
SKILL_20150317_001066	{memo X}${#993399}{ol}[魔法]{/}{/}{nl} 攻擊 a target with powerful energy.
SKILL_20150317_001067	{memo X}攻擊 #{SkillAtkAdd}#{nl}Cast Time 1 second{nl}Splash #{SkillSR}#
SKILL_20150317_001068	倦怠
SKILL_20150317_001069	{memo X}Inflict 倦怠 upon the target.
SKILL_20150317_001070	物理 攻擊: -#{CaptionRatio}#{nl}魔法 攻擊: -#{CaptionRatio}#{nl}迴避: -#{CaptionRatio2}#{nl}{#339999}{ol}[倦怠]{/}{/} Duration: #{CaptionTime}# seconds
SKILL_20150317_001071	催眠
SKILL_20150317_001072	{memo X}Inflicts 催眠 upon targets. Enemies will awake upon taking a certain number of hits, or once 催眠 runs out.
SKILL_20150317_001073	{#339999}{ol}[催眠]{/}{/} Duration: #{SkillFactor}# seconds{nl}攻擊 Thres待命: #{CaptionRatio}#
SKILL_20150317_001074	反射盾
SKILL_20150317_001075	{memo X}$Creates a protective shield that reflects the amplified 傷害 to the target.
SKILL_20150317_001076	傷害 Reflection #{CaptionRatio}#{nl}Duration #{CaptionTime}# seconds{nl}Reflects #{CaptionRatio2}# times
SKILL_20150317_001077	地震
SKILL_20150317_001078	{#993399}{ol}[魔法] - [Earth]{/}{/}{nl} Inflicts 傷害 on an enemy by causing a powerful 地震.
SKILL_20150317_001079	絕對魔法
SKILL_20150317_001080	The casting of a skill won't be canceled when you are being attacked.
SKILL_20150317_001081	Duration #{CaptionTime}# seconds
SKILL_20150317_001082	魔法飛彈
