
QUEST_LV_0100_20150317_000001	哨兵
QUEST_LV_0100_20150317_001347	I knew you are not ordinar.{nl}Thanks for your support.
QUEST_LV_0100_20150317_001348	I want to take a look at it more closely， but there are too many interruptors.{nl}Can you protect me from those monsters for a while?
QUEST_LV_0100_20150317_001349	I never knew that I would be able to see these beautiful patterns.{nl}When you go to Garden of Pillar， there may be more beautiful patterns. Follow me.
QUEST_LV_0100_20150317_001350	It seems that wandering spirits want to give the rewards to someone in 佩帝米安.
QUEST_LV_0100_20150317_001351	After I finish the work， 獨角獸appeared.
QUEST_LV_0100_20150317_001352	Thank you for the regards from sir 雷默納斯. {nl} Come on in to 克萊佩達. Sir 烏斯加 is waiting.
QUEST_LV_0100_20150317_001353	Don't forget to send my regards to the 克萊佩達 Chief Commander.
QUEST_LV_0100_20150317_001354	當你準備好了，請去 東部森林 找 阿拉斯。
QUEST_LV_0100_20150317_001355	歡迎! {nl} 噢， 你就是啟示者，我想見你很久了。 {nl}
QUEST_LV_0100_20150317_001356	這就是傳送卷軸。 {nl} 你可以用它來回任何女神雕像或傳送之前的位置。{nl}
QUEST_LV_0100_20150317_001357	We'll give you more than what the Knights asked for so please help us find the Goddesses.
QUEST_LV_0100_20150317_001358	I think 大型凱帕 is still out there. {nl} Would you take a look?
QUEST_LV_0100_20150317_001359	It was there right? {nl} My senses are never wrong. 
QUEST_LV_0100_20150317_001360	Even though 克萊佩達 is just around the corner， the supply situation is not good enough. {nl} Think how worse it would be in other areas. 
QUEST_LV_0100_20150317_001361	My men should have returned by now but there is no sign of them. {nl} They know well that I'm too busy to check on them myself. 
QUEST_LV_0100_20150317_001362	我的人說去了狄龍庇護所 . {nl} 傀儡可能隨時會出現，然而，他們是如此無憂無慮。
QUEST_LV_0100_20150317_001363	Rocktortuga 很快會埋伏在這個區域。{nl} 我們必須阻止它越過障礙。
QUEST_LV_0100_20150317_001364	你見過波達寶寶？{nl} 我們最好盡快驅趕它們那麼 波達媽媽 就不會不斷出現了。
QUEST_LV_0100_20150317_001365	瓦布 have built their base outside the village. {nl} Now that we don't even have troops， {nl}something serious might happen if we don't drive them out of their base. 
QUEST_LV_0100_20150317_001366	Thank you so much for your bravery. 
QUEST_LV_0100_20150317_001367	How could I express my gratitude. {nl}I'm sure the Goddess sent you to us.
QUEST_LV_0100_20150317_001368	This patient told us the Chafer must have appeared. {nl} Can you help us and check on it?
QUEST_LV_0100_20150317_001369	Now， I have to treat this patient... So thank you.
QUEST_LV_0100_20150317_001370	Those refugees are probably having a hard time getting here because of the monsters.
QUEST_LV_0100_20150317_001371	I can't help but think about it since he's worked here for so long.
QUEST_LV_0100_20150317_001372	Thank you. Now I can feel at ease and return to the village. {nl} May the blessing of the Goddess be with you always.
QUEST_LV_0100_20150317_001373	被攻擊的 傀儡 will get them back to their senses. 
QUEST_LV_0100_20150317_001374	通常，不管你怎麼努力，你都找不到他們。{nl} 奇怪吧？
QUEST_LV_0100_20150317_001375	I am pleased that the friends went back home safely. Was Mashi anxiety to hear the story of {nl} is the Molich close on the prowl.
QUEST_LV_0100_20150317_001376	After unleashing the seal， listen to the next steps for the next seal from the brothers there.
QUEST_LV_0100_20150317_001377	You have the Essence Stone to unleash the seal.{nl}You are the person who Jonas sent right?{nl}
QUEST_LV_0100_20150317_001378	From now on， we will unleash the very important seal.{nl}The first seal is at the Pasaga Cliff.
QUEST_LV_0100_20150317_001379	I heard you successfully unleashed the seal at Pasaga Cliff.{nl}Listen to the next steps from the brother at Garder of Pillar.
QUEST_LV_0100_20150317_001380	봉인을 푸셨으면 부러진 기둥 협곡의 다음 봉인으로 가셔야 할 겁니다.
QUEST_LV_0100_20150317_001381	Go find Gustas Jonas after unleashing the seal.{nl}He will greet you happily.
QUEST_LV_0100_20150317_001382	Are the monsters all taken care of?{nl}It is important from now on.
QUEST_LV_0100_20150317_001383	I want you to bring those artifacts that I couldn't bring since it was too dangerous.{nl}Please take a look at the stone pole at Alkune Hill.
QUEST_LV_0100_20150317_001384	Sometimes the devices may be activated， but no one knows what will happen.{nl}Please be careful.
QUEST_LV_0100_20150317_001385	그래. 잘 해주었다.{nl}그럼 난 이만 가보도록 하지.
QUEST_LV_0100_20150317_001386	Powerless Security Guard
QUEST_LV_0100_20150317_001387	I was attacked by Hogmas at Traceless Ruins.{nl}Fortunately， I was able to survive， but I need to find that box.
QUEST_LV_0100_20150317_001388	Thanks for caring.{nl}Be careful of those Hogmas.
QUEST_LV_0100_20150317_001389	They probably haven't gone that far.{nl}I hope the necklace is safe even if others are not.
QUEST_LV_0100_20150317_001390	There was nothing at the box?{nl}Oh my god， it's not good.
QUEST_LV_0100_20150317_001391	We should find that necklace.{nl}If not， I will be kicked out.
QUEST_LV_0100_20150317_001392	When you use this scroll， the necklace will shine.{nl}You will easily find it even when it is dropped on the ground or when it is in the hands of Hogmas.
QUEST_LV_0100_20150317_001393	If the necklace is that important， don't you think thier boss would want it?
QUEST_LV_0100_20150317_001394	Thank you so much!{nl}I will take little bit more rest to recover my stamina and go back to the guards.
QUEST_LV_0100_20150317_001395	What are you waiting for? {nl}Nothing good will come out when you drag time.
QUEST_LV_0100_20150317_001396	Powerless Security Guard
QUEST_LV_0100_20150317_001397	I am still out of my energy. I was so surprised at then..
QUEST_LV_0100_20150317_001398	What will Rexipher do?
QUEST_LV_0100_20150317_001399	Chedeque's Altar was attacked too?{nl}We will still have a chance when we protect the other altars.
QUEST_LV_0100_20150317_001400	Please go to Sviesa's Altar.{nl}I will follow you.
QUEST_LV_0100_20150317_001401	뒤돌아 보지 말고 바로 달리세요!
QUEST_LV_0100_20150317_001402	And if seen by looking at the stone will appear clear Denoptic.
QUEST_LV_0100_20150317_001403	I will give you the scroll to open the seal.
QUEST_LV_0100_20150317_001404	이렇게 가야 한다니..{nl}어머니， 효도도 못했는데..
QUEST_LV_0100_20150317_001405	죄송합니다.. 죄송합니다..
QUEST_LV_0100_20150317_001406	그건 무엇입니까?{nl}서큐버스의 눈..? 물리치신 것도 반갑지만 그걸 좀 줘 보세요!
QUEST_LV_0100_20150317_001407	말씀 드렸었다시피.. 전 손재주가 좀 좋아서， 어릴 때 부터 관심이 많았어요.{nl}연금술， 마법， 약재.. 그 서큐버스의 눈을 좀 압니다!{nl}대성당의 축복을 간직한 예쁜 목걸이가 탐이 나서 서큐버스가 제 눈에 넣어버린 그 눈!{nl}제가 그걸로 다시 목걸이를 만들어 드릴게요!
QUEST_LV_0100_20150317_001408	It won't take long. {nl} Excuse me.
QUEST_LV_0100_20150317_001409	다 됐습니다!{nl}계시자님께 잘 어울리겠어요!
QUEST_LV_0100_20150317_001410	Let's give up on this and move to the big transportation magic field instead.
QUEST_LV_0100_20150317_001411	The Asmodian attacked the tower is not the first time， but did Mase long earthquake up here. Thanks to {nl}， and whether they are by but Gabija disappeared in the world?
QUEST_LV_0100_20150317_001412	That was a trap.{nl}It seems that they read every movements of us.{nl}
QUEST_LV_0100_20150317_001413	There's nothing we can do about it.{nl}Even it it would be little late， let's give up on the magic field and detroy those monsters who are coming into the tower first.
QUEST_LV_0100_20150317_001414	The barrier device is on the left end of his hallway.{nl}Let's go upstairs right after we activate the device.
QUEST_LV_0100_20150317_001415	The device is at the left end of this hallway.{nl}It seems okay yet.
QUEST_LV_0100_20150317_001416	Good!{nl}There wouldn't be more monsters now.{nl}
QUEST_LV_0100_20150317_001417	Soon Let's go to the next floor. {nl} Gabija budget is awaiting us. {nl}
QUEST_LV_0100_20150317_001418	避難者
QUEST_LV_0100_20150317_001419	我失去了一切。{nl} 我不知道如何繼續下去。 {nl} 如果不是聖樹之日我不會變得如此痛苦。
QUEST_LV_0100_20150317_001420	四年前， 就在聖樹之日前夕。 {nl} 突然，一棵巨大的樹出現在首都的中間，大地和天空逆轉了。 {nl}
QUEST_LV_0100_20150317_001421	我從來不知道一棵樹能長那麼大。{nl} 首都遭到了破壞。{nl}
QUEST_LV_0100_20150317_001422	一切都發生得太快，沒有人知道該做什麼。{nl} 我們不知道是逃跑還是試圖阻止它…我們的頭腦變得一片空白。
QUEST_LV_0100_20150317_001423	首都被破壞只是一開始。{nl} 聖樹之日只是災難來臨的前奏。{nl}
QUEST_LV_0100_20150317_001424	怪異的植物發芽在各地開始吞噬人類。{nl} 在我知道這之前，我是唯一離開的人。{nl}
QUEST_LV_0100_20150317_001425	夠了... 不要再問我更多問題。{nl} 我不想再去回憶它了。
QUEST_LV_0100_20150317_001426	From here， it's 澤凱瑞爾's royal tomb excavation site.{nl}You can freely enter， but please be careful not to disturb the research.
QUEST_LV_0100_20150317_001427	Niels is the one who is in charge of this place.{nl}If you need to ask something， go find Niles at the researchers' camp.
QUEST_LV_0100_20150317_001428	We don't block anyone's entrance here， but we can't guarantee one's safety.
QUEST_LV_0100_20150317_001429	The researchers here receive support from the kingdom.{nl}The person in charge is Niels so if you need to ask something， go talk to Niels at the researchers' camp.
QUEST_LV_0100_20150317_001430	The royal tomb should be protected.{nl}If it can't be protected， it will be destroyed itself.
QUEST_LV_0100_20150317_001431	There is 佩帝米安， but there are interesting ruins around If you look it's too old city. {nl} I will have city Toka .. Cathedral cursed Toka tower of the wizard.
QUEST_LV_0100_20150317_001432	Hundreds of years skip a name to the large witch before it is Agailla Flurry vertical tower. Most of the magic to existing {nl}， either came out from the tower， but it is there is no difference.
QUEST_LV_0100_20150317_001433	The city is abondoned after it is cursed with a magic that turns things into stones. {nl}It is beyond Pilgrim's Road.
QUEST_LV_0100_20150317_001434	It was the place where people lived and supported the previous rebel Ruklys. {nl} the curse would be hard while you went so still valid.
QUEST_LV_0100_20150317_001435	The 女神 澤米娜s Quezon and Irasshai me always Jofuiru protect. {nl} brother also I believe that is the Mina has received a care.
QUEST_LV_0100_20150317_001436	How many of the 女神 if to be increased a prayer to the 女神 澤米娜 Will He will hear the prayer?
QUEST_LV_0100_20150317_001437	Here， Chengdu 佩帝米安 God， is the Earth. Please ask {nl} commercial district is Irasshara as it entered it because it is currently in closed.
QUEST_LV_0100_20150317_001438	The divine city， 佩帝米安 also has business district besides divine district here.{nl}But， on the divine day， business district was completly destroyed due to the earthquake.
QUEST_LV_0100_20150317_001439	We are still reviving the city， but since it's too old..{nl}At least， divine district is still left due to Gemina's blessing.
QUEST_LV_0100_20150317_001440	Follower Albidas
QUEST_LV_0100_20150317_001441	Since follow believe the 薩勒 女神， you'll be able to accept this as a high difficulty such. {nl} impiety to， do you think want to who stay like this terrible place?
QUEST_LV_0100_20150317_001442	Follower Laminta
QUEST_LV_0100_20150317_001443	If the vicious atmosphere spreads to other forest..{nl}That forest will also change like Thorny Forest.{nl}And the whole kingdom.. it is scary..
QUEST_LV_0100_20150317_001444	Follower Evaldas
QUEST_LV_0100_20150317_001445	Everyone is tired and the vicious atmosphere never stops so we should at least try to work happily. {nl}However， I don't know how long I would try to feel happy.
QUEST_LV_0100_20150317_001446	Follower Zanetta
QUEST_LV_0100_20150317_001447	I want to tell to the people out there that we are still here.{nl}But， the 女神 is keep telling us that everything will be alright when the revelation comes.
QUEST_LV_0100_20150317_001448	Follower Simas
QUEST_LV_0100_20150317_001449	사실 전 여기보단 낙우림에 가고 싶습니다.{nl}제 눈으로 꼭 사악한 기운의 근원을 보고 싶거든요.
QUEST_LV_0100_20150317_001450	There are rumors about 傀儡 appearing so don't go far too deep. {nl} It will be safer to take the bigger roads where there are less monsters or just head straight to 克萊佩達.
QUEST_LV_0100_20150317_001451	So， I guess there is actually someone good among those who say they've dreamed of the Goddess.
QUEST_LV_0100_20150317_001452	我很欣慰的是，有人夢見女神。 {nl} 但似乎有太多這樣的人。
QUEST_LV_0100_20150317_001453	一個消失的女神的夢。這不是驚人的事情嗎？
QUEST_LV_0100_20150317_001454	The colleague who I used to work with has dissappeared.{nl}Firefly light was with me at the forest， but I can't go there. I am scary.
QUEST_LV_0100_20150317_001455	Where is he. I am scared.
QUEST_LV_0100_20150317_001456	My colleague is dead?{nl}That's non-sense. If I had not tempted him..{nl}
QUEST_LV_0100_20150317_001457	This map is useless now since my colleague is dead.{nl}Please pray that my colleague would go to the 女神 safely.
QUEST_LV_0100_20150317_001458	Damn. Monsters took my bag. {nl}The bag contained everything that is needed for my journey.. What should I do?{nl}
QUEST_LV_0100_20150317_001459	The 女神 helped!{nl}Those monsters went down.
QUEST_LV_0100_20150317_001460	I still have lots of things to do..
QUEST_LV_0100_20150317_001461	The adventure can continue if I get my diary back.{nl}I am happy..
QUEST_LV_0100_20150317_001462	Long time no see. {nl}I have a favor to ask you. Can you do me a favor?{nl}
QUEST_LV_0100_20150317_001463	I want to put a monument for my dead colleague.{nl}But， I don't have any materials or tools.
QUEST_LV_0100_20150317_001464	고마워. 도구는 클라페다의 대장장이가 팔 거야.{nl}그 전에 높이굽은 길에 있는 바위가 품질이 좋기로 유명하니 우선 부탁할게.
QUEST_LV_0100_20150317_001465	Tools for stonemaisons? {nl}10，000 Sivers will do.{nl}{nl}
QUEST_LV_0100_20150317_001466	I just finished thinking how I will make it.{nl}I will make it fast so please wait.
QUEST_LV_0100_20150317_001467	완성했어. 굽어보는 교차로의 왕릉의 입구에 세워줘.{nl}이걸로 위로가 될까.
QUEST_LV_0100_20150317_001468	I am keep thinking about my colleague.{nl}I would never see him right..
QUEST_LV_0100_20150317_001469	Soul of Varkis
QUEST_LV_0100_20150317_001470	I can't leave with all my things left here
QUEST_LV_0100_20150317_001471	I don't have any reason to stay in this land anymore.{nl}I will go meet the 女神..
QUEST_LV_0100_20150317_001472	It was made long ago， but any stones will break it.
QUEST_LV_0100_20150317_001473	Monument
QUEST_LV_0100_20150317_001474	We all became wind at the canyon.{nl}Although we left， our times together will always remain with you.
QUEST_LV_0100_20150317_001475	Architect Laudi
QUEST_LV_0100_20150317_001476	I received a request to rebuild this architecture， but after Divine Day， I am stuck in this place.{nl}I don't know if requestor is alive and the materials are lacking， but I will finish rebuilding this architecture no matter what happens.
QUEST_LV_0100_20150317_001477	I will find the key to open the last seal.{nl}After opening a space with this scroll.
QUEST_LV_0100_20150317_001478	The space may exist anywhere， but it may also not exist anywhere.
QUEST_LV_0100_20150317_001479	음. 역시 듣던 대로 대단하군.{nl}석주대로 가면 롤란다스님께서 널 기다리고 있을 거야. 
QUEST_LV_0100_20150317_001480	There's nothing better than a trap when you want to gather the enemies and 打擊 them at once. {nl} Of course， it's also the best for running away.
QUEST_LV_0100_20150317_001481	If you think companion is just a pet， that's a huge mistake. {nl} It's like an inseparable friend to the hunters.
QUEST_LV_0100_20150317_001482	Our family has been waiting for you for a long time.{nl}With this igniter， please light the signal at the top.
QUEST_LV_0100_20150317_001483	Since you， the selected person， has come， it is sending us a signal to greet you.{nl}After you light the signal， tell Niels that I am sorry.
QUEST_LV_0100_20150317_001484	There's nothing that I can't get.{nl}If you could give me some money.
QUEST_LV_0100_20150317_001485	Do you need anything?{nl}I can get you anything if you pay me enough.{nl}But， it will be expensive.
QUEST_LV_0100_20150317_001486	Don't ever think about going yourself without mercenaries.{nl}There are many monsters out there that can't even be defeated by mercenaries.
QUEST_LV_0100_20150317_001487	It's about the time that my soldiers should come back， but I haven't heard anything.{nl}If you see them， can you tell them to come back to the camp?
QUEST_LV_0100_20150317_001488	If I don't take care of them， no one will.{nl}I should re-train them， damn.
QUEST_LV_0100_20150317_001489	With this result， I won't be able to see you again.{nl}I should get back the supplies that Wendigo stole， but wound on my heart is too deep.
QUEST_LV_0100_20150317_001490	If I didn't have this wound， that monster was nothing.{nl}I am so angry.
QUEST_LV_0100_20150317_001491	Thanks.{nl}Since I got all those supplies back， I will try cheer up myself one more time.
QUEST_LV_0100_20150317_001492	The would is deeper than I thought so I could hardly move.{nl}I heard Canyon Apinis is good for curing the pain.
QUEST_LV_0100_20150317_001493	That's right. That's Canyon Apinis.{nl}I am worried about side effects， but I hope they go away soon.
QUEST_LV_0100_20150317_001494	Is it still far from Canyon Apinis?{nl}I feel like I will lose my conciousness even when I just breathe.
QUEST_LV_0100_20150317_001495	The blood stopped， but I don't have any senses on my body.{nl}Can you defeat the monsters nearby so I can return safely?
QUEST_LV_0100_20150317_001496	It is aching more than I thought.{nl}To move faster， I should exert more power slowly.
QUEST_LV_0100_20150317_001497	After I regain more energy， I should go back to the commander.{nl}Thank you so much.
QUEST_LV_0100_20150317_001498	The commander is looking for me?{nl}I am sorry. I can't go back until I catch that again.
QUEST_LV_0100_20150317_001499	That is not a regular stone， it is full of vigor..{nl}You will know when you see it.
QUEST_LV_0100_20150317_001500	I didn't know that I would meet Saugas again， I don't know if I should like it or dislike it.
QUEST_LV_0100_20150317_001501	You brought it well.{nl}Now shall we start?
QUEST_LV_0100_20150317_001502	We will be ready when we rub Woodfung's poison on the stone with full of vigor.{nl}It will be done when we put this bait on the Alkune Hill.
QUEST_LV_0100_20150317_001503	Saugas dissappeared with the stone?{nl}That's absurd.
QUEST_LV_0100_20150317_001504	I think you are scared.{nl}Since the stones are still remaining， try luring them again from there.
QUEST_LV_0100_20150317_001505	Saugas ran away after it smelled me?{nl}That is possible.
QUEST_LV_0100_20150317_001506	So only monsters like Sauga came.{nl}Okay. I will go back to the camp slowly since the commander is worrying about me.
QUEST_LV_0100_20150317_001507	There's a scary monster called Denoptic here.{nl}I need the artifacts that Denoptic swallowed. Can you get them for me?
QUEST_LV_0100_20150317_001508	Actually I also Denoptic components， please look for the first time to eat stones. {nl} or would Schlenk someone?
QUEST_LV_0100_20150317_001509	How did you find the right piece!{nl}Thank you so much.
QUEST_LV_0100_20150317_001510	Can I ask you one more favor?{nl}I want you to defeat the monster at Odega Hills.{nl}It disturbs my research.
QUEST_LV_0100_20150317_001511	Thanks.{nl}How come there is no support here when they send mercenaries to those scholars at the entrance of the canyon.
QUEST_LV_0100_20150317_001512	If something happened to Irene， how shoud I live..
QUEST_LV_0100_20150317_001513	Why are monsters after artifacts.{nl}Is there something that we shouldn't know.{nl}
QUEST_LV_0100_20150317_001514	Anyways， thanks for helping me on the research.
QUEST_LV_0100_20150317_001515	Gotta run away from Niels.{nl}We should go see stars.
QUEST_LV_0100_20150317_001516	There was something important..{nl}
QUEST_LV_0100_20150317_001517	What are you doing here?
QUEST_LV_0100_20150317_001518	In dotage? That's absurd.{nl}I am okay. You guys are crazy.
QUEST_LV_0100_20150317_001519	Where did he go?{nl}He's not even normal..
QUEST_LV_0100_20150317_001520	Instead of fighting， I rather chose to run away.{nl}I think that will help us more for the research.
QUEST_LV_0100_20150317_001521	Do those monsters like eating research materials or something?{nl}What do you think?
QUEST_LV_0100_20150317_001522	It may sound cruel.. but， I don't have energy to talk right now.
QUEST_LV_0100_20150317_001523	I was a hunter before.{nl}Those monsters at canyon are nothing to me.
QUEST_LV_0100_20150317_001524	Damn.. I look bad.
QUEST_LV_0100_20150317_001525	It was dangerous， but we got something out of it.{nl}But， missing incidents are scary.
QUEST_LV_0100_20150317_001526	It's raining hard.{nl}Monsters go more crazy on these days.
QUEST_LV_0100_20150317_001527	Who is manipulating this?{nl}I am sure they are after the royal tomb.
QUEST_LV_0100_20150317_001528	Manipulating those monsters， that's not a human thing to do.{nl}Are they demons then? Ah..I am too dizzy.{nl}What have I saw?
QUEST_LV_0100_20150317_001529	I guess I can't sleep tight.
QUEST_LV_0100_20150317_001530	Can you hear it? hear it? The screams of those who died without any reasons?
QUEST_LV_0100_20150317_001531	There are criminals who made counterfeits of the tomb's artifacts.{nl}My face is already known， what should I do..
QUEST_LV_0100_20150317_001532	There are many monsters here， but I heard the stone statue is moving near the royal tomb.{nl}They attack when the king gets distubed in his sleep.
QUEST_LV_0100_20150317_001533	What do we do? {nl} To add to all the chaos in the village， the 瓦布 kidnapped the village people.
QUEST_LV_0100_20150317_001534	獵人
QUEST_LV_0100_20150317_001535	Oh， you're just in time. We need your help. {nl} Monsters stole all the aids and supplies meant for the refugees. {nl}
QUEST_LV_0100_20150317_001536	Fortunately， we found it quickly.
QUEST_LV_0100_20150317_001537	I'll stay and help the people left here. {nl}You should go ahead and help others who need more help that I do.
QUEST_LV_0100_20150317_001538	I'm holding it because it looked like it's going to collapse. {nl}We need some stones to do something about it.
QUEST_LV_0100_20150317_001539	We won't be able to handle it if they siege this place . {nl}How will you stop it then if people are running away even now?
QUEST_LV_0100_20150317_001540	Alright. That'll be enough.
QUEST_LV_0100_20150317_001541	我一定要回村莊一趟。 {nl} 但是你看我的雙手都沒力了。 {nl} 可以幫我打倒魔物，在這期間我可以好好休息。
QUEST_LV_0100_20150317_001542	So heartless of the Goddess. {nl} If the Goddess wouldn't have disappeared， the monsters wouldn't have come attacking. 
QUEST_LV_0100_20150317_001543	Now I can return to village with peace of mind. {nl} This grace I shall never forget.
QUEST_LV_0100_20150317_001544	I came here to hide from the monsters but even this area is becoming dangerous. {nl} I'm trying to go back to the village so can you bring the other refugees to me?
QUEST_LV_0100_20150317_001545	I see you've traveled safe. {nl} Well then， I must also prepare to leave.
QUEST_LV_0100_20150317_001546	What do we do? I think there are even more monsters now than when we first came. {nl} And the patients have not recovered yet. {nl}
QUEST_LV_0100_20150317_001547	Somehow I'll treat this man. Can you get rid of the monsters around?
QUEST_LV_0100_20150317_001548	I have to defeat these monsters.{nl}for guys safe return to village..
QUEST_LV_0100_20150317_001549	Thank you. The patient also regained his consciousness. {nl} But.. I think there is a problem.
QUEST_LV_0100_20150317_001550	This is all because of that evidence of salvation or something. {nl}I'm sure that's where the village people were taken away to.
QUEST_LV_0100_20150317_001551	The Goddess must have helped us. {nl}Follow the way on the right to find 瓦布's outpost.
QUEST_LV_0100_20150317_001552	Thank you for your saving me. {nl} Seems like you're the Revelator who's looking for the evidence of salvation. {nl}
QUEST_LV_0100_20150317_001553	I was left here because I was late but the rest of the people were all taken into the mine. {nl} I tell you the rest of the story in the 水晶礦山 entrance.
QUEST_LV_0100_20150317_001554	Well， you've come. {nl} Let us first remove the wagon from blocking the way into the mines. {nl}
QUEST_LV_0100_20150317_001555	The wagons can be destroyed with the explosives that I have prepared. {nl}I'm concerned about the 瓦布 that will come running hearing the explosion {nl}but with your skills， I think we'll be fine.
QUEST_LV_0100_20150317_001556	Take care of the 瓦布 yourself. {nl} I have other businesses to attend to inside. {nl}
QUEST_LV_0100_20150317_001557	Thank you. Thank you very much. {nl} You're a savior of our town. {nl}
QUEST_LV_0100_20150317_001558	Oh， have you seen a girl about 5 years of age? {nl} I heard she was together with them when the villagers were kidnapped.
QUEST_LV_0100_20150317_001559	Don't just stand there. {nl} Move if you want to help or go away.
QUEST_LV_0100_20150317_001560	Manager of Coal Mine
QUEST_LV_0100_20150317_001561	I'm hanging on somehow but I'm losing strength in my arms.
QUEST_LV_0100_20150317_001562	I should have seen more careful. {nl} It's all my fault.
QUEST_LV_0100_20150317_001563	I have my roots deep in the hunting area. {nl} Do not worry about me and better look after the others.
QUEST_LV_0100_20150317_001564	As the Mayor， I can't just leave the village like this. {nl} How indifferent of the Goddesses.
QUEST_LV_0100_20150317_001565	Aren't you the Revelator? The Goddess must have helped us. {nl} In order to enter the mine， you must save a young man name Vaidotas first. {nl}He was kidnapped to the 瓦布 outpost. {nl} Please， I ask for your help.
QUEST_LV_0100_20150317_001566	Kind Owl Sculptor
QUEST_LV_0100_20150317_001567	There are so many wandering spirits these days.{nl}This really..
QUEST_LV_0100_20150317_001568	Big
QUEST_LV_0100_20150317_001569	That's due to that problem.{nl}It will be better to look at it youself instead of me explaining to you several times.
QUEST_LV_0100_20150317_001570	What's the problem? {nl} um ... it's big， very much.
QUEST_LV_0100_20150317_001571	You saw it right?{nl}He is called Sequoia. {nl}He once protected us owls， but now...{nl}
QUEST_LV_0100_20150317_001572	Humans attack us owls.{nl}So a few owls have been destroyed and there are many people getting hurt.
QUEST_LV_0100_20150317_001573	That
QUEST_LV_0100_20150317_001574	There is an owl that knows well about this problem.{nl}But who was he..{nl}
QUEST_LV_0100_20150317_001575	Ah， I can't concentrate.{nl}While I am remembering it， can you take care of that Ellogua?{nl}I just can't remember easily.
QUEST_LV_0100_20150317_001576	We are made of ordinary wood so we are scared of moist and insects.{nl}We are keen to be broken as well.{nl}It would have been better if we were made of iron.
QUEST_LV_0100_20150317_001577	Thank you!{nl}I can't scratch my head because I am a tree..Hehe..{nl}
QUEST_LV_0100_20150317_001578	Hm! Yes， I finally remembered it! {nl}Go find instabilized owl.{nl}That owl was so close to Sequoia so it must know the method.
QUEST_LV_0100_20150317_001579	Instabilized Owl Sculpture
QUEST_LV_0100_20150317_001580	I will tell you as I promised. I mean Sequoia. {nl}
QUEST_LV_0100_20150317_001581	Sequoia is obsessed with vicious power.{nl}You face vicious power with divine power.{nl}Yes. We should face it!{nl}
QUEST_LV_0100_20150317_001582	Please gather wood pieces from the broken sculpture.{nl}Ah. the ones with the power in them. Select well.
QUEST_LV_0100_20150317_001583	My friends became ordinary. {nl}Yes. Ordinary wooden statues. {nl}They must still have some divine power left， for sure. I believe..
QUEST_LV_0100_20150317_001584	Okay. Good. This will be enough! {nl}We have enough materials. Good. Good.
QUEST_LV_0100_20150317_001585	Hm? Sequoia? I know it well. Big mouth， big hip..{nl}Look at this. Many of my friends fell down.{nl}Sequoia did this. That's right.{nl}
QUEST_LV_0100_20150317_001586	But， monsters are keep trying to take them.{nl}What was that? Okay. The Essence of Spirits.{nl}If you get them again， I will tell you. The Essence of Spirits. My poor friends!
QUEST_LV_0100_20150317_001587	They were very good friends. Bad. Yes. I mean those monsters.{nl}I will try harder for my friends. {nl}Yes. I look little confused..
QUEST_LV_0100_20150317_001588	Thanks. Yes. {nl}I will take you to a good place. For sure..
QUEST_LV_0100_20150317_001589	Gather them， and string them together and stab Sequoia.{nl}Then it will be surprised and run away.
QUEST_LV_0100_20150317_001590	You should succeed on your first try. Okay?
QUEST_LV_0100_20150317_001591	I sometimes miss it. The old Sequoia.{nl}Why was it possessed by vicious power? There is no way to know it. I am just sad. A lot.
QUEST_LV_0100_20150317_001592	Something's wrong. {nl}The Guide Owl is not in a good mood. I hope you go there fast.{nl}
QUEST_LV_0100_20150317_001593	Take that stick with you. They are my friends.{nl}I think you will need it from now on.
QUEST_LV_0100_20150317_001594	It will be okay. That owl is strong.{nl}It will be okay. It will be okay.
QUEST_LV_0100_20150317_001595	Guide 貓頭鷹 雕像
QUEST_LV_0100_20150317_001596	I almost fell into eternal sleep if it weren't you.{nl}Sequoia is our enemy now. Enemy!
QUEST_LV_0100_20150317_001597	Sequoia is not only owls' problem.{nl}It is attacking any living creatures!{nl}Please help us to defeat it.{nl}
QUEST_LV_0100_20150317_001598	If we let Sequoia act like now， all owls will be destroyed.{nl}Many people will die as well...{nl}There will be full of wandering spirits and we won't have any owls to guide us.{nl}
QUEST_LV_0100_20150317_001599	Sequoia is too late.{nl}They are not only attacking humans， but they also attack us who used to be it's old friends!{nl}
QUEST_LV_0100_20150317_001600	The memory of Sequoia and us together.. was it weaker than the vicious power?
QUEST_LV_0100_20150317_001601	Grave Protector Owl Sculpture
QUEST_LV_0100_20150317_001602	Thanks for saving me.{nl}I don't understand how I got attacked by those little things.{nl}Maybe I am too old now.
QUEST_LV_0100_20150317_001603	It seems that the Guide Owl finally made a decision.{nl}It once tried hard to bring Sequoia back to the way it used to before..{nl}
QUEST_LV_0100_20150317_001604	Anyways， It's good.{nl}I need the Essence of Spirit from the spirit that is wandering around the grave of unknown warrior.{nl}You can do anything， just bring us the Essence.
QUEST_LV_0100_20150317_001605	The spirits that were wandering for a long time are like monsters.
QUEST_LV_0100_20150317_001606	Wow， you collected those Essences.{nl}When you go back to the Guide Owl， it will empower your weapon with the power of spirits.{nl}I am not sure if that will result in a positive outcome..Only 女神 will know.
