
UI_20150317_000001	{@st41b}可以從各職業的導師處{nl}學習到對應的特性技能。{/}
UI_20150317_000524	{@st41}完成{/}
UI_20150317_000525	任務進度
UI_20150317_000526	{s18}{ol}任務資訊
UI_20150317_000527	{s16}剩餘時間
UI_20150317_000528	使用任務道具
UI_20150317_000529	任務提示
UI_20150317_000530	{@st41}確認{/}
UI_20150317_000531	{@st43}{s22}任務已完成{/}
UI_20150317_000532	{@st41b}完成{/}
UI_20150317_000533	{@st41}接受{/}
UI_20150317_000534	{@st41}拒絕{/}
UI_20150317_000535	{@st44}返回{/}
UI_20150317_000536	想返回到哪個任務？
UI_20150317_000537	{memo X}{@st41b}Quest class name{/}
UI_20150317_000538	{@st59}增加快捷欄{/}
UI_20150317_000539	{@st59}減少快捷欄{/}
UI_20150317_000540	{memo X}{@st59}Summon Companion.{/}
UI_20150317_000541	{@st44}選單{/}
UI_20150317_000542	{@st60}人物選擇{/}
UI_20150317_000543	{@st60}登出{/}
UI_20150317_000544	{@st60}退出遊戲{/}
UI_20150317_000545	{@st60}遊戲設定{/}
UI_20150317_000546	{@st60}返回{/}
UI_20150317_000547	{@st41}跳過教學{/}
UI_20150317_000548	{@st41}人物選擇{/}
UI_20150317_000549	{@st41}登出{/}
UI_20150317_000550	{@st41}退出遊戲{/}
UI_20150317_000551	{@st41}返回{/}
UI_20150317_000552	{@st43}{s22}參與Raid！
UI_20150317_000553	{@st41b}魔物聚集在城鎮郊區，只有你能解決。
UI_20150317_000554	{@st43}{s22}遊戲設定{/}
UI_20150317_000555	{@sti7}搜尋 Raid 隊伍...{/}
UI_20150317_000556	{@st41b}取消參與
UI_20150317_000557	{@st41b}我來試著解決！
UI_20150317_000558	{@st41b}我覺得這次我幫不上忙...
UI_20150317_000559	{@sti7}{s24}選擇Raid獎勵{/}
UI_20150317_000560	{@st42b}剩餘時間 {@st43}%s{@st42b} 秒{/}
UI_20150317_000561	{@st41b}增加選擇次數
UI_20150317_000562	{@43b}{s22}可選次數：{@st43}%s{/}
UI_20150317_000563	shadow_box tentativeremoval
UI_20150317_000564	{@st43}排名{/}
UI_20150317_000565	{@st59}關閉排名視窗{/}
UI_20150317_000566	{@st41}魔物擊殺 前100名{/}
UI_20150317_000567	{@st41}傷害 前100名{/}
UI_20150317_000568	{@st41]錢錢 前100名{/}
UI_20150317_000569	{@st41}升級 前100名{/}
UI_20150317_000570	{@st41b}選單{/}
UI_20150317_000571	{@st43}{s22}道具強化{/}
UI_20150317_000572	{@st41b}選擇道具
UI_20150317_000573	{@st41b}鐵砧
UI_20150317_000574	{@st41}{s20}鐵砧打擊次數：{@st43} %s
UI_20150317_000575	{@st41} {s20}強化價格：%s
UI_20150317_000576	{@st41b}強化{/}
UI_20150317_000577	{@st59}開始強化道具{/}
UI_20150317_000578	{@st59}關閉強化視窗{/}
UI_20150317_000579	{@st41b}要強化 {@sti9}×%s{/} 選擇的道具嗎?{/}
UI_20150317_000580	{memo X}{@st43}Enhance
UI_20150317_000581	{@st44}道具強化{/}
UI_20150317_000582	{s24}{b}{#000000}強化完成！
UI_20150317_000583	{@st41}再次強化{/}
UI_20150317_000584	{@st41}關閉{/}
UI_20150317_000585	{s18}{ol}{gr gradation1}修理裝備{/}
UI_20150317_000586	已穿著裝備
UI_20150317_000587	所有裝備	
UI_20150317_000588	{Gr gradation1}全選{/}
UI_20150317_000589	全選
UI_20150317_000590	{Gr gradation1}修理{/}
UI_20150317_000591	{@st43}修理{/}
UI_20150317_000592	{memo X}List of items for repair
UI_20150317_000593	{@st41b}修理費用{/}
UI_20150317_000594	{@st41b}修理後餘額{/}
UI_20150317_000595	{@st41b}裝備修理{/}
UI_20150317_000596	修理已選擇的裝備。
UI_20150317_000597	{@st59}關閉道具修理{/}
UI_20150317_000598	{@st43}{@st43}修理{/}{/}
UI_20150317_000599	{@st41}修理清單{/}
UI_20150317_000600	{@st44}道具修理{/}
UI_20150317_000601	{@st42}修理{/}
UI_20150317_000602	{@st59}修理目前的設定{/}
UI_20150317_000603	{@st59}不要修理{/}
UI_20150317_000604	{@st44}恢復{/}
UI_20150317_000605	{memo X}{@st41b}You have become {/}{s20}{#cc6600}{ol} incapable of combat{/}{@st41b}{/}
UI_20150317_000606	{memo X}{@st41b}Respawn from the nearest Revival Point{/}
UI_20150317_000607	{memo X}{@st41b}Respawn here (requires %s iCoins) {/}
UI_20150317_000608	{memo X}{@st41b}Return to field{/}
UI_20150317_000609	{memo X}{@st41b}Abandon quest and restart{/}
UI_20150317_000610	{memo X}{@st41b}Try again{/}
UI_20150317_000611	復活聖所 (70031)
UI_20150317_000612	必須擁有此道具。
UI_20150317_000613	休息快捷鍵
UI_20150317_000614	{@st43}對話框{/}
UI_20150317_000615	臨時名稱
UI_20150317_000616	{memo X}{@st41b} {s18} Your inventory lacks space. 
UI_20150317_000617	{memo X}You cannot obtain the item because your inventory is full{nl}Make sure you have enough space in your inventory.
UI_20150317_000618	{@st44}道具組已收集齊全！{/}
UI_20150317_000619	請選擇道具
UI_20150317_000620	{memo X}{@st59b} shop {nl} {@st59s} - If you want to bulk purchase an item number, then right-click input {nl} - Use the mouse double right-click the item you want to sell quantity {/}
UI_20150317_000621	{@st59}關閉商店{/}
UI_20150317_000622	{@st59}第一頁{/}
UI_20150317_000623	{@st59}下一頁{/}
UI_20150317_000624	{@st59}最後頁{/}
UI_20150317_000625	{@st41b}清除{/}
UI_20150317_000626	{@st59}清空購物車{/}
UI_20150317_000627	{@st41b}交易{/}
UI_20150317_000628	{@st59}決定交易{/}
UI_20150317_000629	{@st43}商店{/}
UI_20150317_000630	{@st41b}已購買物品{/}
UI_20150317_000631	{@st41b}已售出物品{/}
UI_20150317_000632	{@st41b}交易金額 ▶{/}
UI_20150317_000633	{@st41b}剩餘金額 ▶{/}
UI_20150317_000634	{memo X}{@st41b}My Sold Items{/}
UI_20150317_000635	{@st41}空槽{/}
UI_20150317_000636	{@st43}總計{/}
UI_20150317_000637	{@st41}交易花費{/}
UI_20150317_000638	{@st41}剩餘金錢{/}
UI_20150317_000639	{@st41}物品已購買{/}
UI_20150317_000640	{memo X}{@sti1c}Simony
UI_20150317_000641	{@st41}製造技能
UI_20150317_000642	{@st42}等級 %s{/}
UI_20150317_000643	製造費用
UI_20150317_000644	製造數量
UI_20150317_000645	大約需要%s秒
UI_20150317_000646	{@st41}製造
UI_20150317_000647	{memo X}${@st43}Skills & Attributes{/}
UI_20150317_000648	{memo X}${@st59}Close Classes & Skills{/}
UI_20150317_000649	{@st59b}職業{nl}{@st59s}- 隨著職業成長，你會逐漸學到新技能。{nl} - 當你的職業要進階到第二階時，你會有三種進階職業可以挑選。{nl} - 你可以連續三次進階到相同的職業。{nl} - 一旦你進階到其他職業，你就不能反悔。{nl} - 進階之前，你必須消耗掉所有技能點數。{nl} - 你可以選擇相同的職業。{nl}{@st59b}技能{nl}{@st59s} - 每進階一次，技能等集上限就會再加五等。{nl} - 從導師那裏學到的特性會出現在該技能底下。{/}
UI_20150317_000650	{memo X}{@st41b}Apply{/}
UI_20150317_000651	{@st59}確認分配{/}
UI_20150317_000652	牧師
UI_20150317_000653	{@st59}取消分配{/}
UI_20150317_000654	{#ff4400}%s (%s級){/} 學習中...
UI_20150317_000655	Psychohassle
UI_20150317_000656	剩餘%s分鐘
UI_20150317_000657	{@st43}姿勢{/}
UI_20150317_000658	{@st59}關閉姿勢視窗{/}
UI_20150317_000659	{@st41}布告欄{/}
UI_20150317_000660	{@st41}交易{/}
UI_20150317_000661	{@st41}社交功能{/}
UI_20150317_000662	{@st41b}撰寫{/}
UI_20150317_000663	{@st41}註冊{/}
UI_20150317_000664	{@st59}註冊文章{/}
UI_20150317_000665	{@st41}開始撰寫我的頁面{/}
UI_20150317_000666	{@st59}發表我的頁面{/}
UI_20150317_000667	{@st59}撰寫問候語{/}
UI_20150317_000668	{@st41b}1. 選單{/}
UI_20150317_000669	{@st41}拜訪{/}
UI_20150317_000670	{@st59}拜訪我的頁面{/}
UI_20150317_000671	{@st41}出售{/}
UI_20150317_000672	{@st59}出售物品{/}
UI_20150317_000673	{@st43}Living{/}
UI_20150317_000674	{@st59}Close living{/}
UI_20150317_000675	{@st41}檢視全部{/}
UI_20150317_000676	{@st41}建立地圖{/}
UI_20150317_000677	{@st41}%s/分 (%s 在手上){/}
UI_20150317_000678	鍵盤戰士
UI_20150317_000679	{@st42}%s{/}{@st42_yellow}等級{/}
UI_20150317_000680	{@st41_yellow}雇用時間
UI_20150317_000681	{@st43}塗鴉{/}
UI_20150317_000682	{@st59}關閉噴霧{/}
UI_20150317_000683	{@st41b}提示：在畫框底下畫一張圖{/}
UI_20150317_000684	{@st41b}顏色{/}
UI_20150317_000685	{@st41b}數量{/}
UI_20150317_000686	{@st41b}筆刷{/}
UI_20150317_000687	{@st43}著色{/}
UI_20150317_000688	{@st59}地板上的畫完成著色。{/}
UI_20150317_000689	{@st41b}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000690	{@st59}保存繪畫{/}
UI_20150317_000691	{@st41b}{a LOAD_EDIT_SPRAY}讀取{/}{/}
UI_20150317_000692	{@st59}讀取你畫的圖。{/}
UI_20150317_000693	{@st59}選擇顏色 1{/}
UI_20150317_000694	{@st59}選擇顏色 2{/}
UI_20150317_000695	{@st59}顏色清單{/}
UI_20150317_000696	{@st59}已選擇的筆刷{/}
UI_20150317_000697	{@st59}筆刷 1{/}
UI_20150317_000698	{@st59}筆刷 2{/}
UI_20150317_000699	{@st59}筆刷 3{/}
UI_20150317_000700	{@st59}筆刷 4{/}
UI_20150317_000701	{@st59}筆刷 5{/}
UI_20150317_000702	{@st59}筆刷 6{/}
UI_20150317_000703	{@st49}表示喜歡{/}
UI_20150317_000704	{s20}{#050505}請輸入作品描述
UI_20150317_000705	{@st41} 全部 {/}
UI_20150317_000706	{@st41} 隊伍 {/}
UI_20150317_000707	{@st41} 魔物 {/}
UI_20150317_000708	{memo X}{@st41b}{#f0dcaa}剩餘素質點 ▶ {@st46}%s
UI_20150317_000709	{@st59b}角色資訊{nl}{@st59s}- 狀態：隨著等級提升，你會獲得越多素值點數，加強角色的五項素質，會使你的角色更加強大。{nl}- 資訊：依據你的角色素質與裝備，顯示角色各項數值。{nl}- 稱號：完成各項成就，就能取得各式各樣的稱號。{nl} {/}
UI_20150317_000710	{@st41b}狀態{/}
UI_20150317_000711	{memo X}{@st41b}Title{/}
UI_20150317_000712	顯示職業
UI_20150317_000713	顯示角色名稱
UI_20150317_000714	{@st59}修改角色名稱{/}
UI_20150317_000715	{memo X}{@st41b}Apply
UI_20150317_000716	{@st59}確認分配{/}
UI_20150317_000717	{@st41b}取消分配
UI_20150317_000718	{memo X}{@st59}Cancel{/}
UI_20150317_000719	PC Name
UI_20150317_000720	{@st41_yellow}等級：{@st41}%s{/}
UI_20150317_000721	{memo X}{@st41_yellow}Mercenary Skills
UI_20150317_000722	{@st43}攻擊效果{/}
UI_20150317_000723	{@st43}防禦效果{/}
UI_20150317_000724	{@st43}狀態{/}
UI_20150317_000725	systemmenu_vertical tentative removal
UI_20150317_000726	{@st59}角色資訊 (F1){/}
UI_20150317_000727	{@st59}背包 (F2){/}
UI_20150317_000728	{@st59}職業&技能 (F3){/}
UI_20150317_000729	{@st59}冒險日誌 (F4){/}
UI_20150317_000730	{@st59}任務 (F5){/}
UI_20150317_000731	{@st59}隊伍 (F6){/}
UI_20150317_000732	{@st59}好友 (F7){/}
UI_20150317_000733	{@st59}巨集 (F8) {/}
UI_20150317_000734	{@st59}同伴 (F9) {/}
UI_20150317_000735	{@st59}說明 (F10) {/}
UI_20150317_000736	{@st59}系統選單 (Esc){/}
UI_20150317_000737	{@st59}Necronomicon{/}
UI_20150317_000738	說明(F1)
UI_20150317_000739	內容
UI_20150317_000740	檢視詳細內容
UI_20150317_000741	{@st43}遊戲設定{/}
UI_20150317_000742	{@st43}遊戲{/}
UI_20150317_000743	{memo X}{@st41b}Show acquired EXP{/}
UI_20150317_000744	{memo X}{@st41b}Show Character Name{/}
UI_20150317_000745	{memo X}{@st41b}Show Team Name only{/}
UI_20150317_000746	{memo X}{@st41b}Show Quest Guide{/}
UI_20150317_000747	{@st43}解析度{/}
UI_20150317_000748	{@st43}畫質{/}
UI_20150317_000749	{memo X}{@st41b}Full Screen{/}
UI_20150317_000750	{memo X}{@st41b}Windowed Mode{/}
UI_20150317_000751	{@st43}聲音{/}
UI_20150317_000752	{memo X}{@st41b}Sound Effects Volume (%s){/}
UI_20150317_000753	{memo X}{@st41b}BGM Volume (%s){/}
UI_20150317_000754	{memo X}{@st41b}Volume (%s){/}
UI_20150317_000755	{@st43}{b}選擇語言{/}
UI_20150317_000756	{@st59}關閉遊戲設定{/}
UI_20150317_000757	{memo X}Lowest-mode {@st41b} {/}
UI_20150317_000758	{@st41b}View{/}
UI_20150317_000759	{@st59}Credits{/}
UI_20150317_000760	目標Buff視窗
UI_20150317_000761	{@st46}IMC的圖片
UI_20150317_000762	{@st46}%s的圖片
UI_20150317_000763	{@st46}喜歡
UI_20150317_000764	{@st46}舉報
UI_20150317_000765	{@st46}Use preservatives
UI_20150317_000766	{@st46}移除圖片
UI_20150317_000767	Snow Hallucination
UI_20150317_000768	Bouquet
UI_20150317_000769	{@st41} 禮物
UI_20150317_000770	請輸入數量
UI_20150317_000771	{@st53b}%s勝 %s敗
UI_20150317_000772	{@st42}今天的日程表
UI_20150317_000773	{@st53}To Start :
UI_20150317_000774	{@st53b}禮物已收到：×%s
UI_20150317_000775	{@st43b}發送禮物到 %s{/}
UI_20150317_000776	{@st55_a}下一場比賽
UI_20150317_000777	{@st53}- 點擊名字來旁觀{nl}- 右鍵來發送禮物
UI_20150317_000778	攝影機視角
UI_20150317_000779	{@st55_a}恭喜！
UI_20150317_000780	{@st42}切換攝影機視角
UI_20150317_000781	{@st44}冒險日誌{/}
UI_20150317_000782	{@st59}變更觀看選項{/}
UI_20150317_000783	{@st41} 統計 {/}
UI_20150317_000784	{@st41}製作 {/}
UI_20150317_000785	{@st41} 狩獵 {/}
UI_20150317_000786	{@st41} 說明 {/}
UI_20150317_000787	{@st44}維基頁面{/}
UI_20150317_000788	{@st42}資訊{/}
UI_20150317_000789	{@st42}詳細內容{/}
UI_20150317_000790	{@st42}戰鬥{/}
UI_20150317_000791	{@st42}獲得{/}
UI_20150317_000792	{@st59}關閉頁面{/}
UI_20150317_000793	{memo X}{@st43}Battlefield
UI_20150317_000794	{memo X}{@st59}Close Battlefield.
UI_20150317_000795	{memo X}(Bronze 3)
UI_20150317_000796	{@sti8}今日獲得點數：{nl}%s{/}
UI_20150317_000797	{@st41}點數商店
UI_20150317_000798	{@st41}排行
UI_20150317_000799	{memo X}{@st42}Battlefield schedule
UI_20150317_000800	{@st42}目前紀錄
UI_20150317_000801	{@st41}接收 EXP
UI_20150317_000802	{@st41}PvP頁面
UI_20150317_000803	{@st41}搜尋
UI_20150317_000804	{memo X}{@st43}Battlefield Rankings
UI_20150317_000805	{memo X}{@st59}Close Battlefield rankings
UI_20150317_000806	{@st56}技能名稱{/}
UI_20150317_000807	{@st41}確認座標{/}
UI_20150317_000808	{@st41}尋找{/}
UI_20150317_000809	{@st42b}管理魔物重生{/}
UI_20150317_000810	{@st42b}魔物獵表{/}
UI_20150317_000811	{@st42b}建立 UI{/}
UI_20150317_000812	{@st42b}地圖迷霧{/}
UI_20150317_000813	{@st42b}建立地圖{/}
UI_20150317_000814	{@st42b}建立小地圖{/}
UI_20150317_000815	{@st42b}對話{/}
UI_20150317_000816	{@st42b}變更任務報酬{/}
UI_20150317_000817	{@st42b}Group regen{/}
UI_20150317_000818	{@st42b}設定地圖地點{/}
UI_20150317_000819	{@st42b}技能地圖{/}
UI_20150317_000820	{@st42b}活動列表{/}
UI_20150317_000821	{@st42b}確認座標{/}
UI_20150317_000822	{@st42b} 檢查 XAC，紋理路徑{/}
UI_20150317_000823	{@st42b}效能 開/關{/}
UI_20150317_000824	對話列表
UI_20150317_000825	搜尋
UI_20150317_000826	{@st41}預覽{/}
UI_20150317_000827	{@st41}關{/}
UI_20150317_000828	{@st41}移除{/}
UI_20150317_000829	{@st41}全部保存{/}
UI_20150317_000830	{@st41}套用圖片{/}
UI_20150317_000831	{#FFFFFF}{ds}選擇活動
UI_20150317_000832	{#FFFFFF}{ds}編輯活動
UI_20150317_000833	{ol}列表
UI_20150317_000834	The name of the group to save
UI_20150317_000835	{@st42}Create New{/}
UI_20150317_000836	{@st41}Group regen{/}
UI_20150317_000837	{@st59}輸入魔物名稱進行搜尋{/}
UI_20150317_000838	{@st59}Enter group name to save{/}
UI_20150317_000839	{@st41}New group{/}
UI_20150317_000840	Filtering
UI_20150317_000841	{@st59}Enter filter{/}
UI_20150317_000842	{ol}屬性數值
UI_20150317_000843	職業列表
UI_20150317_000844	套用到XML
UI_20150317_000845	{#FFFFFF}{ds}日誌
UI_20150317_000846	{#FFFFFF}{ds}檢視所有屬性
UI_20150317_000847	輸入搜尋關鍵字
UI_20150317_000848	所有特性數值
UI_20150317_000849	{ol}名稱
UI_20150317_000850	{ol}數值
UI_20150317_000851	流氓
UI_20150317_000852	{ol}修訂版
UI_20150317_000853	{ol}流氓
UI_20150317_000854	職業料表
UI_20150317_000855	XML 轉換
UI_20150317_000856	{ol}職業名稱
UI_20150317_000857	{ol}屬性名稱
UI_20150317_000858	{ol}變更數值
UI_20150317_000859	{ol}套用
UI_20150317_000860	打開資料夾
UI_20150317_000861	全部檢查
UI_20150317_000862	歷史紀錄
UI_20150317_000863	還原數值
UI_20150317_000864	{ol}選擇物品
UI_20150317_000865	輸入名稱進行搜尋
UI_20150317_000866	{@st42}確認{/}
UI_20150317_000867	{@st41}建立 UI{/}
UI_20150317_000868	{ol}框架
UI_20150317_000869	{@st41}框架{/}
UI_20150317_000870	{@st41}按鈕{/}
UI_20150317_000871	{@st41}文字{/}
UI_20150317_000872	{@st42b}一般{img btn_close}
UI_20150317_000873	{@st42b}拍賣{img btn_close}
UI_20150317_000874	{@st41}設定地圖地點{/}
UI_20150317_000875	{@st41}重新命名{/}
UI_20150317_000876	{@st59}輸入你想篩選的名稱{/}
UI_20150317_000877	{@st41}建立{/}
UI_20150317_000878	{@st56}保存XML{/}
UI_20150317_000879	{@st56}重設{/}
UI_20150317_000880	{@st56}特性{/}
UI_20150317_000881	{@st56}數值{/}
UI_20150317_000882	{@st42}內容{/}
UI_20150317_000883	{@st41}上一步{/}
UI_20150317_000884	{@st41}全部保存{/}
UI_20150317_000885	{@st41}打開XML{/}
UI_20150317_000886	{@st42b}Fixed Skill : 0{/}
UI_20150317_000887	{@st42b}Fixed skill : %s{/}
UI_20150317_000888	{@st42b}Mouse homing{/}
UI_20150317_000889	{@st42b}技能名稱{/}
UI_20150317_000890	{@st41}魔物獵表{/}
UI_20150317_000891	{@st41}效能管理員{/}
UI_20150317_000892	{ol}選擇任務
UI_20150317_000893	輸入任務名稱進行搜尋
UI_20150317_000894	{ol}選擇地圖
UI_20150317_000895	書入地圖名稱進行搜尋
UI_20150317_000896	{@st42}目前地圖{/}
UI_20150317_000897	{ol}地圖名稱
UI_20150317_000898	{ol}座標
UI_20150317_000899	{@st41}變更任務獎勵{/}
UI_20150317_000900	{@st59}輸入任務進行搜尋{/}
UI_20150317_000901	{@st59}書入物品進行搜尋{/}
UI_20150317_000902	{@st42}EXP
UI_20150317_000903	{ol}基礎獎勵
UI_20150317_000904	{ol}數量
UI_20150317_000905	{ol}額外獎勵
UI_20150317_000906	{@st45}常用作弊功能
UI_20150317_000907	{@st41}技能地圖{/}
UI_20150317_000908	{@st42}能力{/}
UI_20150317_000909	{@st42}戰士{/}
UI_20150317_000910	{@st42}法師{/}
UI_20150317_000911	{@st42}弓箭手{/}
UI_20150317_000912	{@st42}武僧{/}
UI_20150317_000913	{@st42}巫師{/}
UI_20150317_000914	{memo X}{@st41}Skill{/}
UI_20150317_000915	{memo X}{@st59}Xml load{/}
UI_20150317_000916	{memo X}{@st41}Load{/}
UI_20150317_000917	{memo X}{@st59}Save as xml{/}
UI_20150317_000918	{memo X}{@st59}Reset Open Skill map{/}
UI_20150317_000919	{memo X}{@st41}Reset{/}
UI_20150317_000920	{memo X}{@st59}Reset all Skill  maps{/}
UI_20150317_000921	{memo X}{@st41}Reset All{/}
UI_20150317_000922	{memo X}{S18}Remove script
UI_20150317_000923	{memo X}{S18}String argument
UI_20150317_000924	{memo X}{s18}string 1 argument
UI_20150317_000925	{memo X}{s18}string 2 argument
UI_20150317_000926	{memo X}{s18}Max skill level
UI_20150317_000927	{memo X}{@st59}Remove script type box{/}
UI_20150317_000928	{memo X}{@st59}Remove script argument{/}
UI_20150317_000929	{memo X}{@st59}Max skill level{/}
UI_20150317_000930	{memo X}{@st59}Save Property{/}
UI_20150317_000931	{memo X}{@st41}Save Property{/}
UI_20150317_000932	{@st44}UI列表{/}
UI_20150317_000933	{ds}附加元件列表
UI_20150317_000934	{ds}Fixed frame list
UI_20150317_000935	{@st42}UI列表{/}
UI_20150317_000936	{@st59}顯示UI列表{/}
UI_20150317_000937	{@st42}調整位置{/}
UI_20150317_000938	{@st59}調整位置{/}
UI_20150317_000939	{@st42}編輯屬性{/}
UI_20150317_000940	{@st59}編輯屬性{/}
UI_20150317_000941	{@st42}保存{/}
UI_20150317_000942	{@st59}保存{/}
UI_20150317_000943	{@st44}編輯 UI 屬性{/}
UI_20150317_000944	{@St59}回到人物選單{/}
UI_20150317_000945	{@St59}登出{/}
UI_20150317_000946	{@St59}遊戲設定{/}
UI_20150317_000947	{@St59}退出遊戲{/}
UI_20150317_000948	{@st43}小屋設定{/}
UI_20150317_000949	{@st59}關閉小屋設定{/}
UI_20150317_000950	{memo X}{@St42_b}{s18}{#f5c384}Team Name{/}
UI_20150317_000951	{@st59}輸入你的小屋名稱{/}
UI_20150317_000952	{memo X}{@st59}Save Team Name{/}
UI_20150317_000953	暫時刪除
UI_20150317_000954	{@St59}關閉小屋裝修{/}
UI_20150317_000955	{@St43}小屋裝修{/}
UI_20150317_000956	{@St41b}主題{/}
UI_20150317_000957	{@St41b}物品擺設{/}
UI_20150317_000958	{@St41b}名字
UI_20150317_000959	{@St41b}價格
UI_20150317_000960	{@St41b}狀態
UI_20150317_000961	{@St44}新角色{/}
UI_20150317_000962	{@St41b}{s22}選擇角色職業{/}
UI_20150317_000963	{@St41b}返回{/}
UI_20150317_000964	{@St59}取消建立角色
UI_20150317_000965	選擇角色
UI_20150317_000966	{@St41}角色{/}
UI_20150317_000967	{@St59}順時針旋轉{/}
UI_20150317_000968	{@St59}逆時針旋轉{/}
UI_20150317_000969	{@St43b}角色旋轉{/}
UI_20150317_000970	{@st43}角色名稱{/}
UI_20150317_000971	輸入{@st59} {/}的名字
UI_20150317_000972	{@St43b}選擇性別{/}
UI_20150317_000973	{@St59}女性{/}
UI_20150317_000974	{@St59}男性{/}
UI_20150317_000975	{@st43b}選擇髮型{/}
UI_20150317_000976	{@st59}髮型1{/}
UI_20150317_000977	{@st59}髮型2{/}
UI_20150317_000978	{@St59}髮型3{/}
UI_20150317_000979	{@st59}髮型4{/}
UI_20150317_000980	{@st59}髮型5{/}
UI_20150317_000981	{@st59}髮型6{/}
UI_20150317_000982	{@st59}髮型7{/}
UI_20150317_000983	{@st59}髮型8{/}
UI_20150317_000984	{@st59}髮型9{/}
UI_20150317_000985	{@st59}髮型10{/}
UI_20150317_000986	{@St43b}選擇職業{/}
UI_20150317_000987	{@st59}劍士{/}
UI_20150317_000988	{@st59}法師{/}
UI_20150317_000989	{@st59}弓箭手{/}
UI_20150317_000990	{@st59}牧師{/}
UI_20150317_000991	{@St41b}拜訪小屋{/}
UI_20150317_000992	{@St59}拜訪其他玩家的小屋。{/}
UI_20150317_000993	{@St41b}登出{/}
UI_20150317_000994	{@St59}返回登入畫面{/}
UI_20150317_000995	{@St41b}結束遊戲{/}
UI_20150317_000996	{@St59}結束救世主之樹{/}
UI_20150317_000997	{@st41b}請選擇分流{/}
UI_20150317_000998	{memo X}{@st43}Enter{/}
UI_20150317_000999	{@St59}以目前的角色進行遊戲{/}
UI_20150317_001000	{@St43}{s26}小屋名稱{/}
UI_20150317_001001	{@st59}小屋名稱{/}
UI_20150317_001002	{memo X}{@st41b}Change Team Name{/}
UI_20150317_001003	{memo X}{@st59} Change your team name{/}
UI_20150317_001004	{@St41}同伴{/}
UI_20150317_001005	Chat Drag
UI_20150317_001006	{@St44}新的對話名稱{/}
UI_20150317_001007	{@St42}取消{/}
UI_20150317_001008	{@St44}新的視窗名稱{/}
UI_20150317_001009	{@St43}{s40}{gr gradation4}角色建立{/}
UI_20150317_001010	{@St59}建立角色{/}
UI_20150317_001011	{@St59}取消角色建立{/}
UI_20150317_001012	{@St59}關閉{/}
UI_20150317_001013	{@St59}為小屋取名{/}
UI_20150317_001014	{@St43}{s30}{#f0dcaa}輸入你的小屋名稱！
UI_20150317_001015	{memo X}{@St41b}Your Team Name is a name that represents all your characters.{nl}It is the common name used within the game.{nl}               Team Name may be changed later on.{/}
UI_20150317_001016	正在載入背景
UI_20150317_001017	提示
UI_20150317_001018	遊戲提示
UI_20150317_001019	登入
UI_20150317_001020	帳號 ID
UI_20150317_001021	{@st59}輸入你的 ID{/}
UI_20150317_001022	密碼
UI_20150317_001023	{@St59}輸入你的密碼{/}
UI_20150317_001024	{@St43}進入{/}
UI_20150317_001025	{@st59}連接到伺服器{/}
UI_20150317_001026	{@st41b}重播{/}
UI_20150317_001027	{@st41b}單人模式{/}
UI_20150317_001028	{@St41b}結束遊戲{/}
UI_20150317_001029	保存
UI_20150317_001030	{@St59}記住帳號{/}
UI_20150317_001031	伺服器
UI_20150317_001032	{@St59}請選擇伺服器{/}
UI_20150317_001033	Login Title
UI_20150317_001034	[iCBT2正體中文by喵星人小隊]
UI_20150317_001035	選項
UI_20150317_001036	視野距離
UI_20150317_001037	{S20}{#BBBBBB}視野距離
UI_20150317_001038	視野距離：
UI_20150317_001039	角色：
UI_20150317_001040	背景物件：
UI_20150317_001041	地形 - 草 (%)：
UI_20150317_001042	地形 - 樹 (%)：
UI_20150317_001043	地形 - 物件 (%)：
UI_20150317_001044	陰影
UI_20150317_001045	{S20}{#BBBBBB}陰影映射
UI_20150317_001046	使用陰影映射
UI_20150317_001047	陰影品質：
UI_20150317_001048	使用 SSAO
UI_20150317_001049	SSAO 方法：
UI_20150317_001050	SSAO 解析度：
UI_20150317_001051	水面反射
UI_20150317_001052	{s20}{#BBBBBB}水面反射
UI_20150317_001053	角色水面反射
UI_20150317_001054	背景水面反射
UI_20150317_001055	{s20}{#BBBBBB}光暈效果設定
UI_20150317_001056	使用光暈效果
UI_20150317_001057	{@st41}攻擊{/}
UI_20150317_001058	{@St41}防禦{/}
UI_20150317_001059	{@st41}支援{/}
UI_20150317_001060	{@st41}難度{/}
UI_20150317_001061	{@st41}髮型
UI_20150317_001062	{@st41}旋轉
UI_20150317_001063	{@st43}建立角色
UI_20150317_001064	{@st59}建立所選角色{/}
UI_20150317_001065	{@st41b}取消選擇
UI_20150317_001066	{@st59}取消角色建立{/}
UI_20150317_001067	角色資訊
UI_20150317_001068	{@st41}與誰在一起
UI_20150317_001069	{@st59}選擇跟隨哪個角色{/}
UI_20150317_001070	道具建立介面
UI_20150317_001071	{s24}名稱 :
UI_20150317_001072	{s16} 力量 :
UI_20150317_001073	{s16} HP :
UI_20150317_001074	{s16} 敏捷 :
UI_20150317_001075	{s16} 體力 :
UI_20150317_001076	{s16} Force :
UI_20150317_001077	{s18} 職業選擇
UI_20150317_001078	{s18} 正道聯盟
UI_20150317_001079	{s18} 邪教軍團
UI_20150317_001080	Hong Moo Moon
UI_20150317_001081	Dae Do Cheon
UI_20150317_001082	Fire Swords
