ITEM_20150317_000001	空_頭盔 
ITEM_20150317_003148	Fat mass from a Cockatrice. 
ITEM_20150317_003149	Highly Enriched Cockatrice Fat. 
ITEM_20150317_003150	Hallowventer Charcoal 
ITEM_20150317_003151	Charcoal found from Hallowventers. 
ITEM_20150317_003152	Strong Magical Power Absorption Jar 
ITEM_20150317_003153	If you set up this jar, it will absorb magical power from around you. 
ITEM_20150317_003154	Dust Sample 
ITEM_20150317_003155	Could be a cause of the disease. 
ITEM_20150317_003156	Big Cockatrice Tail 
ITEM_20150317_003157	Tail of a Big Cockatrice that is diseased.  
ITEM_20150317_003158	Grita's Absorbing Gem 
ITEM_20150317_003159	A gem that absorbs a monster's life force. It absorbs the life force of monsters defeated near it. 
ITEM_20150317_003160	Unseal Scroll 
ITEM_20150317_003161	A scroll required to solve the seal of King 澤凱瑞爾. It is the first seal. 
ITEM_20150317_003162	Canyon Bomb Flower 
ITEM_20150317_003163	An ingredient to make a Crystal Gem. 
ITEM_20150317_003164	Oil-Stained Fuse 
ITEM_20150317_003165	Flame Source 
ITEM_20150317_003166	Any monster that uses fire abilities has a source. It is used to make Flame Gems. 
ITEM_20150317_003167	Flame Searching Stick 
ITEM_20150317_003168	Makes finding fire easy but how Grita got it is a mystery. 
ITEM_20150317_003169	Pino Catching Sack. 
ITEM_20150317_003170	Research Material 
ITEM_20150317_003171	Research material stolen by monsters. It seems that monsters like to steal such documents. 
ITEM_20150317_003172	Pino in a Sack 
ITEM_20150317_003173	Dry Twigs 
ITEM_20150317_003174	Useful dry twigs for fire. 
ITEM_20150317_003175	硬質 Lime 
ITEM_20150317_003176	硬質 lime be used to make Knockoff Goods.  
ITEM_20150317_003177	Newly-Made Knockoff Goods 
ITEM_20150317_003178	Decicive evidence of Knockoff Goods. It isn't finished yet. 
ITEM_20150317_003179	Building Piece 
ITEM_20150317_003180	Piece of a building with beautiful pattern on it. It seems that the architect put a lot of work into making it. 
ITEM_20150317_003181	Bag of Graverobbing Tools 
ITEM_20150317_003182	There are various tools inside, like a dowsing 魔棒 to check for underground tombs. 
ITEM_20150317_003183	Loot Bag 
ITEM_20150317_003184	The Saugas store their loot in bags. They share their loot equally. 
ITEM_20150317_003185	Archaeologist Token 
ITEM_20150317_003186	A very ancient looking token of an Archaeologist. 
ITEM_20150317_003187	Woodfung Poison 
ITEM_20150317_003188	The highly toxic poison of a Woodfung. It releases this poison into the air when frightened. 
ITEM_20150317_003189	Bucket 
ITEM_20150317_003190	Valley Bomb (Disposable) 
ITEM_20150317_003191	Increases Attack Speed and Combat Movement Speed. {nl} Also speeds up Cast Time and lowers 冷卻s {nl} {#ff0000} Caution: Taking this more than 3 times a day, may cause insomnia{nl}, headache, or indigestion symptoms. {/} 
ITEM_20150317_003192	Canyon Bomb 
ITEM_20150317_003193	Monster Head 
ITEM_20150317_003194	Monster Corpse 
ITEM_20150317_003195	A sack holding a monster's head 
ITEM_20150317_003196	Monster Trunk 
ITEM_20150317_003197	A sack holding a monster's trunk 
ITEM_20150317_003198	Monster Hand 
ITEM_20150317_003199	A sack holding a monster's hand 
ITEM_20150317_003200	Lizardman Blood 
ITEM_20150317_003201	Cockatrice Blood 
ITEM_20150317_003202	Lizardman Blood is used in experiments conducted by necromancers.  
ITEM_20150317_003203	Soul Jar 
ITEM_20150317_003204	A soul jar given by the necromancer Drasyus. It will inhale monsters who are on the verge of death. 
ITEM_20150317_003205	First Clue of the Great King 
ITEM_20150317_003206	A clue to undo the seal at the entrance of Royal Tomb. 
ITEM_20150317_003207	Second Clue of the Great King 
ITEM_20150317_003208	Third Clue of the Great King 
ITEM_20150317_003209	Fourth Clue of the Great King 
ITEM_20150317_003210	Fifth Clue of the Great King 
ITEM_20150317_003211	Chipped 長劍 
ITEM_20150317_003212	A sword with a piece missing from it. 
ITEM_20150317_003213	Corpse Relics 
ITEM_20150317_003214	These relics might help identify the dead bodies. 
ITEM_20150317_003215	Sword Piece 
ITEM_20150317_003216	This piece fits into the Chipped Sword. 
ITEM_20150317_003217	Wood 
ITEM_20150317_003218	Wood picked from the wood pile by Cahill. 
ITEM_20150317_003219	Strong 樹蛙 皮甲. 
ITEM_20150317_003220	This is used for various leather products.  
ITEM_20150317_003221	Mose Diesel's Letter 
ITEM_20150317_003222	A letter containing the heart of Mose Diesel. 
ITEM_20150317_003223	Mose Diesel's Crutches  
ITEM_20150317_003224	Mose Diesel made these crutches for the village youngster Cahill 
ITEM_20150317_003225	Shining Tree Sap 
ITEM_20150317_003226	The first material Ahylas Jonas requested to undo the seal. 
ITEM_20150317_003227	Collected Canyon 槲寄生 
ITEM_20150317_003228	Unsealed Crystal Gem 
ITEM_20150317_003229	Crystal Gem needed to release the seal in Broken 藥丸ar Canyon 
ITEM_20150317_003230	Lost Research Materials 
ITEM_20150317_003231	Research materials that the new researcher lost. Some of the papers were crumpled when they were stepped on. 
ITEM_20150317_003232	A map that marked the location of the Great King's inheritance. 
ITEM_20150317_003233	Could someone eventually find out the location of the Great King 澤凱瑞爾's inheritance? 
ITEM_20150317_003234	An 解毒劑 that can counteract a Scorpion's poison. Let's get this to Dezic. 
ITEM_20150317_003235	Collapsed Magical Resource 
ITEM_20150317_003236	It seems it will explode if it is touched. Be careful. 
ITEM_20150317_003237	Hogma Tooth. 
ITEM_20150317_003238	A Hogma's tooth used to scratch out something on the slate. 
ITEM_20150317_003239	Infrobirk 的肉 
ITEM_20150317_003240	Meat gotten by slaying Infrobirk. It looks tough. 
ITEM_20150317_003241	Stubby Tree Trunk 
ITEM_20150317_003242	This trunk looks like that of a normal tree. 
ITEM_20150317_003243	Remains of Treearmbloow 
ITEM_20150317_003244	It seems to use as a firewood. 
ITEM_20150317_003245	Broken Tombstone Fragment 
ITEM_20150317_003246	Lydia Schaffen's tombstone piece regained from Cemetery 傀儡 and Guri. 
ITEM_20150317_003247	Piece of Lydia Schaffen's Broken Tombstone 
ITEM_20150317_003248	A piece of a broken tombstone found from a Sea Turtle. You have to put the pieces of tombstone together to see whose it is.  
ITEM_20150317_003249	Restored Tombstone of Lydia Schaffen 
ITEM_20150317_003250	Finally restored the tombstone. What is in there? 
ITEM_20150317_003251	Destroyed Tombstone Fragment 
ITEM_20150317_003252	A piece of Flurry's tombstone that a Tama picked up and ate. 
ITEM_20150317_003253	Village People's Luggage 
ITEM_20150317_003254	Luggage filled with  odds and ends 
ITEM_20150317_003255	Black Coal Powder 
ITEM_20150317_003256	A magical black powder made from coal that makes ink stick clearly onto parchment. 
ITEM_20150317_003257	Eternal Ember 
ITEM_20150317_003258	A material needed to open the sealed manual. Doesn't go out no matter how much you try. 
ITEM_20150317_003259	Piece of the Holy Ark 
ITEM_20150317_003260	The Holy Ark for holding souls has been broken. Will collecting its pieces be enough? 
ITEM_20150317_003261	Small Monster Crystal 
ITEM_20150317_003262	A monster's Small Crystal that the Suspicious Chair asked you to collect. To call it a crystal is a stretch, though. 
ITEM_20150317_003263	Voice of Sealed Stone 
ITEM_20150317_003264	The voice of the soul sealed within the Sealed Stone. You can hear a faint whisper from it. 
ITEM_20150317_003265	Crystal of Restriction 
ITEM_20150317_003266	A crystal infused with magic to prevent the sealed soul from escaping. 
ITEM_20150317_003267	Variation Mediator 
ITEM_20150317_003268	The Variation Mediator substance that the Variation Magician Furry Odd asked you to collect. 
ITEM_20150317_003269	Hardened Black Crystal  
ITEM_20150317_003270	A crystal that has been carelessly burnt. 
ITEM_20150317_003271	Flame Charm 
ITEM_20150317_003272	A burning charm. Because it was in a monster's stomach, it is wet and smells bad. 
ITEM_20150317_003273	銀製 Dye for Magical Tattoo 
ITEM_20150317_003274	銀製 dye used for Simon Shaw's tattoo. It is relatively easy to get. 
ITEM_20150317_003275	Cordelier's 羊皮紙 
ITEM_20150317_003276	羊皮紙 Cordelier gave you. Although coal powder has been used, it is hard to see the letters because the parchment has darkened. 
ITEM_20150317_003277	Fallenlem 核心 
ITEM_20150317_003278	Contains a power source that moves the Fallenlem. Grita, who can't use magic, needs it. 
ITEM_20150317_003279	Flame Crystal 
ITEM_20150317_003280	Needed to 刺擊ilize the Flame Gem. 
ITEM_20150317_003281	Bagworm's Body Fluid 
ITEM_20150317_003282	Material needed to make a 邪靈祭司 doll. 
ITEM_20150317_003283	尖刺ball's 的莖 
ITEM_20150317_003284	Memo Paper of Believer 
ITEM_20150317_003285	A method for removing thorny vines is written on the paper. 
ITEM_20150317_003286	Matches 
ITEM_20150317_003287	An ember to burn the thorny vines. 
ITEM_20150317_003288	Acidic Solution 
ITEM_20150317_003289	A strong acidic solution that can melt through thorny vines. 
ITEM_20150317_003290	Magical Power Crystal  
ITEM_20150317_003291	A crystal needed to remove thorny vines by holy power. It needs charging and refining to be used. 
ITEM_20150317_003292	尖刺ball Wreckage 
ITEM_20150317_003293	尖刺ball Wreckage burns well, even in rain. 
ITEM_20150317_003294	Some fluid with a sour smell that oozed out from a toenail. 
ITEM_20150317_003295	Horrible-Smelling Body Fluid 
ITEM_20150317_003296	A useful fluid for flushing out the mini Griva that has become a parasite on Greepelli's hair. 
ITEM_20150317_003297	Adele's Ring 
ITEM_20150317_003298	Adele treasures this ring. Let's get it back to Adele. 
ITEM_20150317_003299	Poisonous Mushroom of Truffle 
ITEM_20150317_003300	A Treepelli's poisonous mushroom. Most people think it's a horn. 
ITEM_20150317_003301	A strong acidic solution that can melt through thorny stems. 
ITEM_20150317_003302	Operer Spit 
ITEM_20150317_003303	An Operor's saliva that has the power to purify corrupted magical crystals. 
ITEM_20150317_003304	Refined Spell Crystal 
ITEM_20150317_003305	A completely purified magical crystal. It can remove the thorny vines blocking the path. 
ITEM_20150317_003306	Cauliflower Sap 
ITEM_20150317_003307	Highly volatile sap. Essential for burning away wet thorny vines. 
ITEM_20150317_003308	Stimulants 
ITEM_20150317_003309	A medicine effective in restoring one's mind. 
ITEM_20150317_003310	Power Crystal 
ITEM_20150317_003311	A crystal of power gotten from defeating Cholirus. It is used to make a crystal of light. 
ITEM_20150317_003312	Magical Enchantment Crystal  
ITEM_20150317_003313	A crystal filled with enough energy to activate the underground enchantment. 
ITEM_20150317_003314	Operation Map 
ITEM_20150317_003315	Visual plans, where you can see the goal area for the operation. It is in the middle. 
ITEM_20150317_003316	尖刺 Pollen 
ITEM_20150317_003317	Pollen used to exorcise evil spirits. 
ITEM_20150317_003318	Lever Handle Latch 
ITEM_20150317_003319	A latch used to tie down the handle of the cable car's lever. 
ITEM_20150317_003320	Gear 
ITEM_20150317_003321	A metal part shaped like a wheel that monsters had stolen. It is clearly a part of the cable car. 
ITEM_20150317_003322	鎧甲au Sugar Beets 
ITEM_20150317_003323	Sweet tasting 鎧甲au specialty sugar beets. Young animals love them. 
ITEM_20150317_003324	Cable Car Parts 
ITEM_20150317_003325	Parts acquired from around the broken cable car 
ITEM_20150317_003326	尖刺 Pollen Stimulant 
ITEM_20150317_003327	Good medicine for when the atmosphere becomes contaminated and hazy. 
ITEM_20150317_003328	Blue Fragaras Petal 
ITEM_20150317_003329	A Fragaras' resin is an effective exorcising material. 
ITEM_20150317_003330	Ritualistic Rope 
ITEM_20150317_003331	A ceremonial rope carried by a 失語者 Shaman 
ITEM_20150317_003332	Enchanted Mane
ITEM_20150317_003333	A mane taken from the nape of a defeated Mushcarian 
ITEM_20150317_003334	Scripture Verses 
ITEM_20150317_003335	A legendary verse used to defeat Gesti. Seems like it's not the right time to use this. 
ITEM_20150317_003336	A legendary verse used to defeat Gesti. It needs to be recharged before it can be used. 
ITEM_20150317_003337	A legendary verse used to defeat Gesti. It's ready to be used. 
ITEM_20150317_003338	Purification Voodoo 娃娃 Summon Scroll 
ITEM_20150317_003339	A catalyst containing a Voodoo 娃娃. Activates the Voodoo 娃娃 when used. 
ITEM_20150317_003340	Igniter 
ITEM_20150317_003341	An igniter found in a beacon mound. 
ITEM_20150317_003342	Counterfeit Goods 
ITEM_20150317_003343	Counterfeit goods passed to you from Kevin. They're not finished. 
ITEM_20150317_003344	Divine Crystal 
ITEM_20150317_003345	Lowers the strength of monsters when used on them. 
ITEM_20150317_003346	Broken Altar Piece 
ITEM_20150317_003347	A piece broken off from the altar on the second floor of the Cathedral 
ITEM_20150317_003348	Lesser 藥劑 of Light 
ITEM_20150317_003349	When used, you become invisible to Demons for 10 秒. The effect disappears if you attack or take damage. 
ITEM_20150317_003350	Lesser Bead of the Divine Spirit 
ITEM_20150317_003351	When used, a Divine Spirit appears and provokes nearby Demons. 
ITEM_20150317_003352	Revelator's Proof 
ITEM_20150317_003353	An index describing how to obtain the Legendary Key from the West 阻礙. 
ITEM_20150317_003354	Spatial Crest 
ITEM_20150317_003355	A special key for finding revelations and hidden places. 
ITEM_20150317_003356	Merog Spittle 
ITEM_20150317_003357	It creates an awakening effect if it is mixed with 尖刺 Flower Powder Stimulant. 
ITEM_20150317_003358	Enhanced 尖刺 Flower Stimulant 
ITEM_20150317_003359	It has a better effect than the 尖刺 Flower Powder  
ITEM_20150317_003360	尖刺 Flower Fluid 
ITEM_20150317_003361	It has an awakening effect if mixed with a Merog's spit. 
ITEM_20150317_003362	Slime's Body Liquid 
ITEM_20150317_003363	Material requested by the 元素使 Master to prove your qualification 
ITEM_20150317_003364	Hallowventer 骨頭 Piece 
ITEM_20150317_003365	Graveyard 傀儡 Activation 核心 
ITEM_20150317_003366	Dew Recepticle 
ITEM_20150317_003367	A vessel to hold water enchanted with spiritual power. 
ITEM_20150317_003368	Flimsy Charm 
ITEM_20150317_003369	Altar Base Material. 
ITEM_20150317_003370	An enemy that dies with this charm attached to it is supposed to be under our control but.. It seems kind of shabby. 
ITEM_20150317_003371	Full Spirit Pot 
ITEM_20150317_003372	A pot filled with the magical energy that flows through the Royal Tombs. 
ITEM_20150317_003373	Black Maize Poison  
ITEM_20150317_003374	Ingredient necessary to redecorate the Obelisk. It has a high level of acidity. 
ITEM_20150317_003375	Paralysis Powder 
ITEM_20150317_003376	Paralysis Powder that can stun the Black Maize in Rhombuspaving Dale. 
ITEM_20150317_003377	White Oak 精華  
ITEM_20150317_003378	Ingredient necessary for the paint used in painting inscriptions onto the Obelisk. It's black in color. 
ITEM_20150317_003379	Adhesive Coating  
ITEM_20150317_003380	Ingredient necessary to redecorate the Obelisk. It's very sticky. 
ITEM_20150317_003381	聖騎士 Scroll 
ITEM_20150317_003382	A scroll used to mark the divine symbol of a 聖騎士 onto Demons 
ITEM_20150317_003383	祠祭的工具
ITEM_20150317_003384	The sacred energies of the Shrine still infuse them. 
ITEM_20150317_003385	Restraint Ward Key 
ITEM_20150317_003386	A key to release the restraint ward tied by 女神 薩勒 
ITEM_20150317_003387	Nikotia Herbs 
ITEM_20150317_003388	A great herb requested by the Cleric Master. 
ITEM_20150317_003389	Goddess Offering Pocket 
ITEM_20150317_003390	An offering pocket that clerics use to worship the Goddess Statue. 
ITEM_20150317_003391	Balm 
ITEM_20150317_003392	A balm used to repair Goddess Statue. It has an unusual, but gentle, scent. 
ITEM_20150317_003393	Boss Decision 
ITEM_20150317_003394	Firm Oil 
ITEM_20150317_003395	It has a pronounced effect  
ITEM_20150317_003396	輕裝盾兵 盾 
ITEM_20150317_003397	A shield requested of the 造箭者 Master from the 輕裝盾兵 Master. 
ITEM_20150317_003398	Dock Permit 
ITEM_20150317_003399	A necessary permit needed for a ship to enter the port. 
ITEM_20150317_003400	Navigator's Chart 
ITEM_20150317_003401	A necessary map for sailing. It describes the ocean currents and wind directions. 
ITEM_20150317_003402	Contract 
ITEM_20150317_003403	What kind of contract is this? 
ITEM_20150317_003404	Whetstone Bag 
ITEM_20150317_003405	A bag that can hold a lot of whetstones. 
ITEM_20150317_003406	Moya Body Fluid Sample 
ITEM_20150317_003407	A body fluid sample extracted from a Moya 
ITEM_20150317_003408	Intermediate Arrow Sample 
ITEM_20150317_003409	An arrow sample created by the 造箭者 Master. It has good balance. 
ITEM_20150317_003410	Sounding Wood 
ITEM_20150317_003411	Wood that the 造箭者 Master is looking for. It produces a fine timbre when knocked on. 
ITEM_20150317_003412	Grime-Encrusted Tree 
ITEM_20150317_003413	이 나무들 사이에 맑은 소리가 나는 나무가 있다. 두들겨서 확인해 보자.
ITEM_20150317_003414	Simple Tube 
ITEM_20150317_003415	A simple tube that can shoot a neruotoxin dart 
ITEM_20150317_003416	Synthetic Poison 
ITEM_20150317_003417	A special poison made from a Stoulet's bodily fluids. It only reacts with the neurotoxin dart used with the Simple Tube. 
ITEM_20150317_003418	Phalanx Tactics 
ITEM_20150317_003419	An easy tactic made for beginner 百夫長s, it is nonetheless difficult to remember without practice. 
ITEM_20150317_003420	Flare 
ITEM_20150317_003421	A flare mainly used by 斥侯s. Used to find hidden monsters. 
ITEM_20150317_003422	Stone Rubbing 
ITEM_20150317_003423	A rubbing of Lydia Schaffen requested by the 弩箭手 Master for testing. 
ITEM_20150317_003424	Heavily Cursed Jewel 
ITEM_20150317_003425	A jewel suffering from a very powerful curse. It seems to be continuously calling to someone. 
ITEM_20150317_003426	Mostem Fire Jar 
ITEM_20150317_003427	Jar of fire obtained from  Mostems. Mostems treasure them. 
ITEM_20150317_003428	藍色 漁夫 骨頭 
ITEM_20150317_003429	藍色 漁夫 骨頭. It too small to hold.  
ITEM_20150317_003430	Guts of a Lepus Bunny 
ITEM_20150317_003431	Feels terrible 
ITEM_20150317_003432	哈佩拉 Beak 
ITEM_20150317_003433	The beak of a 哈佩拉. It is very sharp. 
ITEM_20150317_003434	Smoke Grenade 
ITEM_20150317_003435	Used to easily escape from enemies during a crisis. Bang! 
ITEM_20150317_003436	Orb of Provocation 
ITEM_20150317_003437	An orb very useful for taunting enemies  
ITEM_20150317_003438	Lasso 
ITEM_20150317_003439	A rope with a noose attached to it. Used for throwing and tying up enemies. 
ITEM_20150317_003440	工兵 Master's Introduction Letter 
ITEM_20150317_003441	Letter of introduction that 工兵 Master wrote to the 高地戰士 Master 
ITEM_20150317_003442	高地戰士 Master's Proof 
ITEM_20150317_003443	Confirmation from the 高地戰士 Master that you accomplished all of the necessary requirements for advancement. 
ITEM_20150317_003444	Tanu Purification Jewel   
ITEM_20150317_003445	Crystal with Tanu's ability to purify
ITEM_20150317_003446	Skill Item 
ITEM_20150317_003447	Use skill item 
ITEM_20150317_003448	Gorge Metos Sap 
ITEM_20150317_003449	Liquid extracted from Gorge Metoses. It is used as an ingredient in medicine used for alleviating mental illness symptoms. 
ITEM_20150317_003450	Relic Record 
ITEM_20150317_003451	A record of relics copied as dictated by 凱帕ct. Only the shape and size of the relics are recorded. 
ITEM_20150317_003452	Memorial Rubbings 
ITEM_20150317_003453	Rubbings requested by the epigraphist Smith 
ITEM_20150317_003454	A torn letter found from a dead body. Let's find a place to place the relics. 
ITEM_20150317_003455	Lethal Move of Zibeck 
ITEM_20150317_003456	A scroll contains the lethal move of legendary thief Zibeck. Once used, it gives you 1 stat point.. 
ITEM_20150317_003457	Jewel of Red Flames 
ITEM_20150317_003458	Gem containing an aura of fire. It will be helpful to the 女神 加比婭. 
ITEM_20150317_003459	Languid Herb 
ITEM_20150317_003460	A herb that makes one feel languid 
ITEM_20150317_003461	Strongly Scented Soul Flower 
ITEM_20150317_003462	A flower with a powerful fragrance. There is a rumor that souls inhabit this flower. 
ITEM_20150317_003463	Useful Bomb  
ITEM_20150317_003464	Explosives made to prevent monsters from advancing into Andail Village. 
ITEM_20150317_003465	Languid Herb Bomb  
ITEM_20150317_003466	The chemical essence of the Languid Herb has been concentrated for use in this bomb. 
ITEM_20150317_003467	Sparnas Bait  
ITEM_20150317_003468	A bait used to attract Sparnas. It made by lumping together old grains. 
ITEM_20150317_003469	Simple Supplies 
ITEM_20150317_003470	Supplies requested by the supplier to be delivered to the Danus unit. 
ITEM_20150317_003471	Scot's First Report 
ITEM_20150317_003472	잊혀진 나루의 이상 현상을 기록한 보고서.
ITEM_20150317_003473	Supply Pouch 
ITEM_20150317_003474	A pouch of supplies looted by 瓦布. Let's take these to Yukurt to investigate the odd behaviour of the 瓦布. 
ITEM_20150317_003475	Doki Oil 
ITEM_20150317_003476	Oil that reeks with a Doki's scent. 
ITEM_20150317_003477	Toolbox 
ITEM_20150317_003478	Full of tools used to repair the scarecrow. 
ITEM_20150317_003479	Death Marker 
ITEM_20150317_003480	A marker found from 幻影魔. The voices of the killed innocents echo from it. 
ITEM_20150317_003481	A necklace that a ghost asked you to take to his younger brother. A modest pendant is attached to it. 
ITEM_20150317_003482	A bag full of money. What was the Reaper doing with this? 
ITEM_20150317_003483	Messenger's Note 
ITEM_20150317_003484	A messenger's hastily scribbled note. It describes a great threat. 
ITEM_20150317_003485	Ancient Writings  
ITEM_20150317_003486	There are verses on it to appease the souls of those who died while researching the Royal Tombs. 
ITEM_20150317_003487	Wizard's Torn Page 
ITEM_20150317_003488	A page torn from a book. It looks like the author is Shaman Show.  
ITEM_20150317_003489	Mark of a Pilgrim 
ITEM_20150317_003490	A pilgrim's mark swallowed by a monster. The owner is nowhere to be found. 
ITEM_20150317_003491	Cathedral Marble Parts 
ITEM_20150317_003492	Marble Parts found attached to the monsters in the Cathedral. 
ITEM_20150317_003493	Storyteller's Book 
ITEM_20150317_003494	A book that Koven hid in a box. 
ITEM_20150317_003495	Secret Box Key 
ITEM_20150317_003496	Koven gave you this key, saying it opened a locked box. Let's look for this box. 
ITEM_20150317_003497	Simple Item 
ITEM_20150317_003498	Requested Item 
ITEM_20150317_003499	Practice Wood Carving Scraps 
ITEM_20150317_003500	The practice wood carving is completely broken. 
ITEM_20150317_003501	Intermediate Item_1 
ITEM_20150317_003502	Intermediate Item_2 
ITEM_20150317_003503	Fixed Practice Wood Carving 
ITEM_20150317_003504	The broken practice wood carving has fixed. It has been reinforced to be more durable. 
ITEM_20150317_003505	Hardened Tree Log 
ITEM_20150317_003506	Log required to fix the practice wood carving 
ITEM_20150317_003507	Rope 
ITEM_20150317_003508	Rope required to fix the scarecrow 
ITEM_20150317_003509	Memory Fragment 
ITEM_20150317_003510	An orb necessary to complete the spell that wakes the Sleeping Owls to aid Gaigalus. 
ITEM_20150317_003511	Un刺擊le Holy 矛. It cannot be used in its current state. 
ITEM_20150317_003512	Huge Fang 
ITEM_20150317_003513	Huge Fang obtained from Minotaur of Susanhan marketplace 
ITEM_20150317_003514	Natural Agate Stone 
ITEM_20150317_003515	Parts needed for a new trap devised by the 工兵 Master. 
ITEM_20150317_003516	잘 타는 돌멩이
ITEM_20150317_003517	플레쳐 마스터가 가르침의 대가로 요구한 돌멩이. 
ITEM_20150317_003518	萊格溫家族 Decoration 
ITEM_20150317_003519	A trinket belonging to the old 萊格溫家族 
ITEM_20150317_003520	An ingredient of a drug required to cure the patient 
ITEM_20150317_003521	Holy Relic 
ITEM_20150317_003522	A holy relic used by 聖火祭司es as a symbol of their faith. Lost in the city by someone. 
ITEM_20150317_003523	Stone Whale 精華 
ITEM_20150317_003524	An essence filled with the resentment of many souls. 
ITEM_20150317_003525	Dense Hardwood  
ITEM_20150317_003526	Material requested by the 雕塑家 特斯拉 
ITEM_20150317_003527	레푸스의 발톱
ITEM_20150317_003528	몽크 마스터가 다짐의 증거로 요구한 발톱. 
ITEM_20150317_003529	Lost Indulgence Offering 
ITEM_20150317_003530	Offering envelope embossed with the 寬恕者's Crest 
ITEM_20150317_003531	Mali Seeds 
ITEM_20150317_003532	Mali seeds obtained from killing Malis. 
ITEM_20150317_003533	Destroyer 薩滿娃娃 Summon Scroll 
ITEM_20150317_003534	A scroll to summon a Destructive 薩滿娃娃 
ITEM_20150317_003535	Destroyed Piece of 阻礙 
ITEM_20150317_003536	Part of a broken enchantment used to protect Mazas' nest. Can it be restored? 
ITEM_20150317_003537	Mallardu Fat 
ITEM_20150317_003538	A material that is needed to wake up the 豬籠草. It doesn't catch fire in its current state. 
ITEM_20150317_003539	Combustible Fat 
ITEM_20150317_003540	The fat of a Mallardu that has been prepared to burn well. Use it to wake up the 豬籠草. 
ITEM_20150317_003541	Spiritually Enchanted Sap 
ITEM_20150317_003542	It must be gathered from the 豬籠草 while it's alive for it to have any effect. 
ITEM_20150317_003543	甲蟲 Secretion 
ITEM_20150317_003544	Secretion that can be used to attract Biteregina 
ITEM_20150317_003545	老舊的 護身符 
ITEM_20150317_003546	An enemy killed with this charm attached to them will join your side! 
ITEM_20150317_003547	First revelation found from the Crystal Mine 
ITEM_20150317_003548	Eye of Madness 
ITEM_20150317_003549	Rodelin's eye. It is said to be able to erase an enemy's senses. 
ITEM_20150317_003550	Wicked 精華  
ITEM_20150317_003551	An ingredient necessary to make the Holy Spirit Bomb. It must be purified before it can be used. 
ITEM_20150317_003552	Purified 精華  
ITEM_20150317_003553	An ingredient necessary to make the Holy Spirit Bomb. The purified result of Wicked 精華. 
ITEM_20150317_003554	Romuba Holy Water  
ITEM_20150317_003555	When consumed it will prevent Demons from detecting your presence! 
ITEM_20150317_003556	Holy Spirit Bomb 
ITEM_20150317_003557	A bomb blessed with holy power. It can defeat Glizardon in a single blow. 
ITEM_20150317_003558	Holy Spirit Stone 
ITEM_20150317_003559	Guard's Scroll 
ITEM_20150317_003560	Once the scroll is used, one can distinguish which Hogmas are wearing necklaces. 
ITEM_20150317_003561	Shabby-Looking 項鏈 
ITEM_20150317_003562	On the back "To ...oved Rukl..s, Lydia." is visible. 
ITEM_20150317_003563	Small Demon's 短裙 Hem 
ITEM_20150317_003564	A skirt hem obtained by defeating Pawndel and Pawnd. An ingredient needed to make the Demon 變換讀入ation Scroll. 
ITEM_20150317_003565	Soul of Pawnd  
ITEM_20150317_003566	A soul of a demon collected in order to identify Demon Monsters 
ITEM_20150317_003567	Soul of Pawndel  
ITEM_20150317_003568	Soul of Corylus  
ITEM_20150317_003569	Bucket  
ITEM_20150317_003570	Bucket used to hold water. Seems like a rope can be tied to it. 
ITEM_20150317_003571	Long Rope  
ITEM_20150317_003572	A very long rope. Seems like something can be tied to it.  
ITEM_20150317_003573	Demon 變換讀入 Scroll 
ITEM_20150317_003574	Use this scroll to transform to Panwndel or Pawnd. 
ITEM_20150317_003575	Light Crystal 
ITEM_20150317_003576	A Power Crystal processed and filled with the strength of light. It can release the enchantment that binds the sealed Cathedral doors. 
ITEM_20150317_003577	Muddy 項鏈 
ITEM_20150317_003578	Old and muddy necklace dropped by someone long ago. 
ITEM_20150317_003579	瓦布's 木質 Arrow 
ITEM_20150317_003580	木質 arrow used by High 瓦布 Archers. It might be useful for kindling. 
ITEM_20150317_003581	Ingredient necessary to make the 粗製 Divining 魔棒 used to search for the First Tombstone Fragment. You need to collect a lot of them. 
ITEM_20150317_003582	粗製 Divining 魔棒 
ITEM_20150317_003583	A divining 魔棒 used to search for the First Tombstone Fragment which has been hidden somewhere underground. Looks weak enough to be broken by even the slightest amount of force. 
ITEM_20150317_003584	Dusty Ruin Rubble 
ITEM_20150317_003585	Rubble that the epigraphist Raymond ordered you to collect with the suspicion that it might contain a part of the Second Tombstone. A Second Tombstone Fragment may or may not be in here... 
ITEM_20150317_003586	Stumpy Tree Sap 
ITEM_20150317_003587	The sap of a stumpy tree requested by general goods merchant Edang. Its powerful medical properties have made it a highly valued commodity. 
ITEM_20150317_003588	Sap Collector 
ITEM_20150317_003589	A tool used to collect the sap of a Treearmblow 
ITEM_20150317_003590	First Tombstone Fragment 
ITEM_20150317_003591	The first part of the lost Ruklys monument 
ITEM_20150317_003592	Second Tombstone Fragment 
ITEM_20150317_003593	The second part of the lost Ruklys monument 
ITEM_20150317_003594	Carbonized Tombstone Fragment 
ITEM_20150317_003595	The third part of the lost Ruklys monument 
ITEM_20150317_003596	Fourth Tombstone Fragment 
ITEM_20150317_003597	The fourth part of the lost Ruklys monument 
ITEM_20150317_003598	Ruin Rubble 
ITEM_20150317_003599	The Fifth Tombstone Fragment is mixed into this pile of debris. 
ITEM_20150317_003600	Restored Tombstone Frgment 
